Sample_ID,sample,moisture ,temp,1.5s peak area,known,ppm calc,,,,,
2022_06_09_REH_climexp_001,5 ppm,,,52849.1,5,,,,,,
2022_06_09_REH_climexp_002,5 ppm,,,49932.5,5,,,,,,
2022_06_09_REH_climexp_003,5 ppm,,,48362.2,5,,,,,,
2022_06_09_REH_climexp_004,10 ppm,,,105925,10,,,,,,
2022_06_09_REH_climexp_005,10 ppm,,,101846.4,10,,,,,,
2022_06_09_REH_climexp_006,10 ppm,,,102555.1,10,,,,,,
2022_06_09_REH_climexp_007,25 ppm,,,257874.1,25,,,,,,
2022_06_09_REH_climexp_008,25 ppm,,,258151.2,25,,,,,,
2022_06_09_REH_climexp_009,25 ppm,,,262831.5,25,,,,,,
2022_06_09_REH_climexp_010,100 ppm,,,1201016.7,100,,,,,,
2022_06_09_REH_climexp_011,100 ppm,,,1185813,100,,,,,,
2022_06_09_REH_climexp_012,100 ppm,,,1176398.5,100,,,,,,
2022_06_09_REH_climexp_013,Bag B Blank 2 5/31/22,,,13185.7,,2.870356,*** baseline drift,,,,
2022_06_09_REH_climexp_014,Bag B Blank 1 5/31/22,,,2509.5,,2.01626,,,,,
2022_06_09_REH_climexp_015,Litter 5 ,150%,5,7895.6,,2.447148,,,,,
2022_06_09_REH_climexp_016,Litter 6 ,150%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_017,Soil 1 ,25%,5,8393.6,,2.486988,,,,,
2022_06_09_REH_climexp_018,Soil 2,25%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_019,Soil 3,25%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_020,Soil 4,25%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_021,Soil 5,25%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_022,Soil 6,25%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_023,Soil 1 ,50%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_024,Soil 2,50%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_025,Soil 3,50%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_026,Soil 4,50%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_027,Soil 5,50%,5,11627.5,,2.7457,,,,,
2022_06_09_REH_climexp_028,Soil 6,50%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_029,Soil 1 ,100%,5,8768,,2.51694,,,,,
2022_06_09_REH_climexp_030,Soil 2,100%,5,8684.2,,2.510236,,,,,
2022_06_09_REH_climexp_031,Soil 3,100%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_032,Soil 4,100%,5,1329,,1.92182,,,,,
2022_06_09_REH_climexp_033,Soil 5,100%,5,9638.1,,2.586548,,,,,
2022_06_09_REH_climexp_034,Soil 6,100%,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_035,5 ppm,,,47950.2,,5.651516,,,,,
2022_06_09_REH_climexp_036,5 ppm,,,49101,,5.74358,,,,,
2022_06_09_REH_climexp_037,5 ppm,,,47143.4,,5.586972,,,,,
2022_06_09_REH_climexp_038,25 ppm,,,253907.3,,22.128084,,,,,
2022_06_09_REH_climexp_039,25 ppm,,,254753.9,,22.195812,,,,,
2022_06_09_REH_climexp_040,25 ppm,,,254389.6,,22.166668,,,,,
2022_06_09_REH_climexp_041,Soil 1 ,150,5,3096.8,,2.063244,,,,,
2022_06_09_REH_climexp_042,Soil 2,150,5,14130,,2.9459,,,,,
2022_06_09_REH_climexp_043,Soil 3,150,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_044,Soil 4,150,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_045,Soil 5,150,5,11271.1,,2.717188,,,,,
2022_06_09_REH_climexp_046,Soil 6,150,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_047,Bag A Blank 1 5/31/22,,,10565.4,,2.660732,,,,,
2022_06_09_REH_climexp_048,Bag A Blank 2 5/31/22,,,12140.2,,2.786716,,,,,
2022_06_09_REH_climexp_049,Wood 1 ,25,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_050,Wood 2,25,5,12943.2,,2.850956,,,,,
2022_06_09_REH_climexp_051,Wood 3,25,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_052,Wood 4,25,5,16224.6,,3.113468,,,,,
2022_06_09_REH_climexp_053,Wood 5,25,5,13279.3,,2.877844,,,,,
2022_06_09_REH_climexp_054,Wood 6,25,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_055,Wood 1 ,50,5,11943.5,,2.77098,,,,,
2022_06_09_REH_climexp_056,Wood 2,50,5,10963.8,,2.692604,,,,,
2022_06_09_REH_climexp_057,Wood 3,50,5,1663,,1.94854,,,,,
2022_06_09_REH_climexp_058,Wood 4,50,5,16926.9,,3.169652,,,,,
2022_06_09_REH_climexp_059,Wood 5,50,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_060,Wood 5 redo,50,5,3401.1,,2.087588,,,,,
2022_06_09_REH_climexp_061,Wood 6,50,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_062,Wood 1 ,100,5,5647.9,,2.267332,,,,,
2022_06_09_REH_climexp_063,Wood 2,100,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_064,Wood 3,100,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_065,Wood 4,100,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_066,Wood 5,100,5,1100.7,,1.903556,,,,,
2022_06_09_REH_climexp_067,Wood 6,100,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_068,Wood 1 ,150,5,2250.6,,1.995548,,,,,
2022_06_09_REH_climexp_069,Wood 2,150,5,7199.3,,2.391444,,,,,
2022_06_09_REH_climexp_070,Wood 3,150,5,4313.6,,2.160588,,,,,
2022_06_09_REH_climexp_071,Wood 4,150,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_072,Wood 5,150,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_073,Wood 6,150,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_074,10 ppm,,,99199,,9.75142,,,,,
2022_06_09_REH_climexp_075,10 ppm,,,102372.2,,10.005276,,,,,
2022_06_09_REH_climexp_076,10 ppm,,,101542.5,,9.9389,,,,,
2022_06_09_REH_climexp_077,Litter 1,25,15,17879.9,,3.245892,,,,,
2022_06_09_REH_climexp_078,Litter 2,25,15,12131.2,,2.785996,,,,,
2022_06_09_REH_climexp_079,Litter 3,25,15,3925.3,,2.129524,,,,,
2022_06_09_REH_climexp_080,Litter 4,25,15,11351.4,,2.723612,,,,,
2022_06_09_REH_climexp_081,Litter 5,25,15,7798,,2.43934,,,,,
2022_06_09_REH_climexp_082,Litter 6,25,15,9238,,2.55454,,,,,
2022_06_09_REH_climexp_083,Litter 1,50,15,19758.8,,3.396204,,,,,
2022_06_09_REH_climexp_084,Litter 2,50,15,12439,,2.81062,,,,,
2022_06_09_REH_climexp_085,Litter 3,50,15,3364.6,,2.084668,,,,,
2022_06_09_REH_climexp_086,Litter 4,50,15,12750.4,,2.835532,,,,,
2022_06_09_REH_climexp_087,Litter 5,50,15,0,,1.8155,,,,,
2022_06_09_REH_climexp_088,Litter 6,50,15,2307,,2.00006,,,,,
2022_06_09_REH_climexp_089,Litter 2,100,15,20223.4,,3.433372,,,,,
2022_06_09_REH_climexp_090,Litter 1,100,15,29946.1,,4.211188,,,,,
2022_06_09_REH_climexp_091,Litter 3,100,15,3596,,2.10318,,,,,
2022_06_09_REH_climexp_092,Litter 4,100,15,14667.3,,2.988884,,,,,
2022_06_09_REH_climexp_093,Litter 5,100,15,12831.8,,2.842044,,,,,
2022_06_09_REH_climexp_094,Litter 6,100,15,2241.9,,1.994852,,,,,
2022_06_09_REH_climexp_095,Litter 1,150,15,16045.5,,3.09914,,,,,
2022_06_09_REH_climexp_096,Litter 2,150,15,10235.7,,2.634356,,,,,
2022_06_09_REH_climexp_097,Litter 3,150,15,6253.8,,2.315804,,,,,
2022_06_09_REH_climexp_098,Litter 4,150,15,49035.8,,5.738364,,,,,
2022_06_09_REH_climexp_099,Litter 5,150,15,12711.6,,2.832428,,,,,
2022_06_09_REH_climexp_100,Litter 6,150,15,2411.2,,2.008396,,,,,
2022_06_09_REH_climexp_101,25 ppm,,,250587,,21.86246,,"this standard is decaying, don’t think this is a GC issue",,,
2022_06_09_REH_climexp_102,25 ppm,,,244640.5,,21.38674,,,,,
2022_06_09_REH_climexp_103,25 ppm,,,234553.1,,20.579748,,6/9/2022,,,
2022_06_09_REH_climexp_104,10 ppm,,,95850.8,,9.483564,,,,,
2022_06_09_REH_climexp_105,10 ppm,,,94394.7,,9.367076,,,,,
2022_06_09_REH_climexp_106,10 ppm,,,95858.2,,9.484156,,,,,
2022_06_09_REH_climexp_107,100 ppm,,,1197663.1,,97.628548,,,,,
2022_06_09_REH_climexp_108,100 ppm,,,1176809.3,,95.960244,,,,,
2022_06_09_REH_climexp_109,100 ppm,,,1139450.8,,92.971564,,* this was the first pull from the tank probably diluted a bit still,,,
2022_06_09_REH_climexp_110,Lichen 1,25,5,12991.6,,2.854828,,,,,
2022_06_09_REH_climexp_111,Moss 7,25,15,8703.9,,2.511812,,,,,
2022_06_09_REH_climexp_112,Lichen 2,25,5,20338.8,,3.442604,,,,,
2022_06_09_REH_climexp_113,Lichen 3,25,5,11152.2,,2.707676,,,,,
2022_06_09_REH_climexp_114,Lichen 4,25,5,10428.7,,2.649796,,,,,
2022_06_09_REH_climexp_115,Lichen 5,25,5,10541,,2.65878,,,,,
2022_06_09_REH_climexp_116,Lichen 6,25,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_117,Lichen 1,50,5,16637.4,,3.146492,,,,,
2022_06_09_REH_climexp_118,Lichen 2,50,5,3587.7,,2.102516,,,,,
2022_06_09_REH_climexp_119,Lichen 3,50,5,12843.9,,2.843012,,,,,
2022_06_09_REH_climexp_120,Lichen 4,50,5,10680.4,,2.669932,,,,,
2022_06_09_REH_climexp_121,Lichen 5,50,5,13090.5,,2.86274,,,,,
2022_06_09_REH_climexp_122,Lichen 6,50,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_123,Lichen 1,100,5,4669.9,,2.189092,,,,,
2022_06_09_REH_climexp_124,Lichen 2,100,5,6637.5,,2.3465,,,,,
2022_06_09_REH_climexp_125,Lichen 3,100,5,7261.1,,2.396388,,,,,
2022_06_09_REH_climexp_126,Lichen 4,100,5,3497.9,,2.095332,,,,,
2022_06_09_REH_climexp_127,Lichen 5,100,5,125985.7,,11.894356,,,,,
2022_06_09_REH_climexp_128,Lichen 6,100,5,1929.5,,1.96986,,,,,
2022_06_09_REH_climexp_129,Lichen 1,150,5,402320.5,,34.00114,,,,,
2022_06_09_REH_climexp_130,Lichen 2,150,5,21634.6,,3.546268,,,,,
2022_06_09_REH_climexp_131,Lichen 3,150,5,7321.4,,2.401212,,,,,
2022_06_09_REH_climexp_132,Lichen 4,150,5,10514.9,,2.656692,,,,,
2022_06_09_REH_climexp_133,Lichen 5,150,5,16561.3,,3.140404,,,,,
2022_06_09_REH_climexp_134,Lichen 6,150,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_135,10 ppm,,,94588.8,,9.382604,,,,,
2022_06_09_REH_climexp_136,10 ppm,,,92157,,9.18806,,,,,
2022_06_09_REH_climexp_137,10 ppm,,,86410.6,,8.728348,,,,,
2022_06_09_REH_climexp_138,Moss 1,25,5,7288.6,,2.398588,,,,,
2022_06_09_REH_climexp_139,Moss 2,25,5,10788.7,,2.678596,,,,,
2022_06_09_REH_climexp_140,Moss 3,25,5,8094.5,,2.46306,,,,,
2022_06_09_REH_climexp_141,Moss 4,25,5,19447.5,,3.3713,,,,,
2022_06_09_REH_climexp_142,Moss 5,25,5,4629,,2.18582,,,,,
2022_06_09_REH_climexp_143,Moss 6,25,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_144,Moss 1,50,5,13864.6,,2.924668,,,,,
2022_06_09_REH_climexp_145,Moss 2,50,5,9517.6,,2.576908,,,,,
2022_06_09_REH_climexp_146,Moss 3,50,5,9652.8,,2.587724,,,,,
2022_06_09_REH_climexp_147,Moss 4,50,5,15645.1,,3.067108,,,,,
2022_06_09_REH_climexp_148,Moss 5,50,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_149,Moss 6,50,5,0,,1.8155,,,,,
2022_06_09_REH_climexp_150,Moss 5 redo,50,5,0,,1.8155,,,,,
2022_06_10_REH_climexp_151,Moss 1,100,5,26199.9,,3.911492,,,,,
2022_06_10_REH_climexp_152,Moss 2,100,5,9648.6,,2.587388,,,,,
2022_06_10_REH_climexp_153,Moss 3,100,5,5834.2,,2.282236,,,,,
2022_06_10_REH_climexp_154,Moss 4,100,5,22151.9,,3.587652,,,,,
2022_06_10_REH_climexp_155,Moss 6,150,5,0,,1.8155,,,,,
2022_06_10_REH_climexp_156,Moss 5,150,5,12830.8,,2.841964,,,,,
2022_06_10_REH_climexp_157,Moss 4,150,5,21220.5,,3.51314,,,,,
2022_06_10_REH_climexp_158,Moss 3,150,5,13337.7,,2.882516,,,,,
2022_06_10_REH_climexp_159,Moss 2,150,5,10937.1,,2.690468,,,,,
2022_06_10_REH_climexp_160,Moss 1,150,5,1107.6,,1.904108,,,,,
2022_06_10_REH_climexp_161,Moss 5,100,5,8549.2,,2.499436,,,,,
2022_06_10_REH_climexp_162,Moss 6,100,5,53234.7,,6.074276,,,,,
2022_06_10_REH_climexp_163,25 ppm,,,160080.9,,14.621972,,,,,
2022_06_10_REH_climexp_164,25 ppm,,,167942,,15.25086,,,,,
2022_06_10_REH_climexp_165,25 ppm,,,166825,,15.1615,,,,,
2022_06_10_REH_climexp_166,Lichen 7,25,15,3279695.6,,264.191148,,,,,
2022_06_10_REH_climexp_167,Lichen 8,25,15,613370.7,,50.885156,,,,,
2022_06_10_REH_climexp_168,Lichen 9,25,15,47277.9,,5.597732,,,,,
2022_06_10_REH_climexp_169,Lichen 10,25,15,304288.2,,26.158556,,,,,
2022_06_10_REH_climexp_170,Lichen 11,25,15,86154.4,,8.707852,,,,,
2022_06_10_REH_climexp_171,Lichen 12,25,15,3384.5,,2.08626,,,,,
2022_06_10_REH_climexp_172,Lichen 7,50,15,21568780.8,,1727.317964,,,,,
2022_06_10_REH_climexp_173,Lichen 8,50,15,277491.4,,24.014812,,,,,
2022_06_10_REH_climexp_174,Lichen 9,50,15,21229.5,,3.51386,,,,,
2022_06_10_REH_climexp_175,Lichen 10,50,15,9457.8,,2.572124,,,,,
2022_06_10_REH_climexp_176,Lichen 11,50,15,91391.4,,9.126812,,,,,
2022_06_10_REH_climexp_177,Lichen 12,50,15,4996.2,,2.215196,,,,,
2022_06_10_REH_climexp_178,Lichen 7,100,15,7187.5,,2.3905,,,,,
2022_06_10_REH_climexp_179,Lichen 8,100,15,302681.8,,26.030044,,,,,
2022_06_10_REH_climexp_180,Lichen 9,100,15,21494.8,,3.535084,,,,,
2022_06_10_REH_climexp_181,Lichen 10,100,15,6386.2,,2.326396,,,,,
2022_06_10_REH_climexp_182,Lichen 11,100,15,31028.1,,4.297748,,,,,
2022_06_10_REH_climexp_183,Lichen 12,100,15,3598,,2.10334,,,,,
2022_06_10_REH_climexp_184,Lichen 7,150,15,430476.2,,36.253596,,,,,
2022_06_10_REH_climexp_185,Lichen 8,150,15,50871.3,,5.885204,,,,,
2022_06_10_REH_climexp_186,Lichen 9,150,15,8694.1,,2.511028,,,,,
2022_06_10_REH_climexp_187,Lichen 10,150,15,7362.9,,2.404532,,,,,
2022_06_10_REH_climexp_188,Lichen 11,150,15,151942.4,,13.970892,,,,,
2022_06_10_REH_climexp_189,Lichen 12,150,15,2263.9,,1.996612,,,,,
2022_06_10_REH_climexp_190,5 ppm,,,40193.2,,5.030956,,,,,
2022_06_10_REH_climexp_191,5 ppm,,,41289.1,,5.118628,,,,,
2022_06_10_REH_climexp_192,5 ppm,,,40260.3,,5.036324,,,,,
2022_06_10_REH_climexp_193,Moss 8,25,15,358240,,30.4747,,,,,
2022_06_10_REH_climexp_194,Moss 9,25,15,13631.1,,2.905988,,,,,
2022_06_10_REH_climexp_195,Moss 10,25,15,288720.9,,24.913172,,,,,
2022_06_10_REH_climexp_196,Moss 11,25,15,16547.8,,3.139324,,,,,
2022_06_10_REH_climexp_197,Moss 12,25,15,1595.9,,1.943172,,,,,
2022_06_10_REH_climexp_198,Moss 7,50,15,15890.7,,3.086756,,,,,
2022_06_10_REH_climexp_199,Moss 8,50,15,361838.8,,30.762604,,,,,
