sample,sample_no,moist_level,temp,1.5s peak area,ppm
Lichen,24,100,35,23253.3,3.203464
Lichen,24,150,35,11210.3,2.240024
Lichen,1,25,5,12991.6,2.854828
Lichen,2,25,5,20338.8,3.442604
Lichen,3,25,5,11152.2,2.707676
Lichen,4,25,5,10428.7,2.649796
Lichen,5,25,5,10541,2.65878
Lichen,12,50,15,4996.2,2.215196
Lichen,1,50,5,16637.4,3.146492
Lichen,2,50,5,3587.7,2.102516
Lichen,3,50,5,12843.9,2.843012
Lichen,4,50,5,10680.4,2.669932
Lichen,5,50,5,13090.5,2.86274
Lichen,12,100,15,3598,2.10334
Lichen,1,100,5,4669.9,2.189092
Lichen,2,100,5,6637.5,2.3465
Lichen,3,100,5,7261.1,2.396388
Lichen,4,100,5,3497.9,2.095332
Lichen,5,100,5,125985.7,11.894356
Lichen,12,25,15,3384.5,2.08626
Lichen,1,150,5,402320.5,34.00114
Lichen,2,150,5,21634.6,3.546268
Lichen,3,150,5,7321.4,2.401212
Lichen,4,150,5,10514.9,2.656692
Lichen,5,150,5,16561.3,3.140404
Lichen,24,25,35,8528.9,2.025512
Lichen,18,150,25,8207.6,1.999808
Lichen,12,150,15,2263.9,1.996612
Lichen,6,100,5,1929.5,1.96986
Lichen,7,25,15,3279695.6,264.191148
Lichen,8,25,15,613370.7,50.885156
Lichen,9,25,15,47277.9,5.597732
Lichen,10,25,15,304288.2,26.158556
Lichen,11,25,15,86154.4,8.707852
Lichen,24,50,35,7782.9,1.965832
Lichen,7,50,15,21568780.8,1727.317964
Lichen,8,50,15,277491.4,24.014812
Lichen,9,50,15,21229.5,3.51386
Lichen,10,50,15,9457.8,2.572124
Lichen,11,50,15,91391.4,9.126812
Lichen,7,100,15,7187.5,2.3905
Lichen,8,100,15,302681.8,26.030044
Lichen,9,100,15,21494.8,3.535084
Lichen,10,100,15,6386.2,2.326396
Lichen,11,100,15,31028.1,4.297748
Lichen,7,150,15,430476.2,36.253596
Lichen,8,150,15,50871.3,5.885204
Lichen,9,150,15,8694.1,2.511028
Lichen,10,150,15,7362.9,2.404532
Lichen,11,150,15,151942.4,13.970892
Lichen,6,25,5,0,1.8155
Lichen,6,50,5,0,1.8155
Lichen,6,150,5,0,1.8155
Lichen,18,25,25,5358.4,1.771872
Lichen,13,25,25,2779407,223.69576
Lichen,14,25,25,21414573.9,1714.509112
Lichen,15,25,25,232377.3,19.933384
Lichen,16,25,25,46690.5,5.07844
Lichen,17,25,25,9327.5,2.0894
Lichen,18,100,25,4528,1.70544
Lichen,13,50,25,210454.3,18.179544
Lichen,14,50,25,17963,2.78024
Lichen,15,50,25,10010.9,2.144072
Lichen,16,50,25,49981.1,5.341688
Lichen,17,50,25,9412.4,2.096192
Lichen,13,100,25,25554.2,3.387536
Lichen,14,100,25,9834.6,2.129968
Lichen,15,150,25,1634813.2,132.128256
Lichen,16,150,25,42696,4.75888
Lichen,17,150,25,117141.9,10.714552
Lichen,18,50,25,2881,1.57368
Lichen,15,150,25,315165.8,26.556464
Lichen,14,150,25,21788.6,3.086288
Lichen,15,100,25,219407.7,18.895816
Lichen,16,100,25,56506.6,5.863728
Lichen,17,100,25,5685.3,1.798024
Lichen,19,25,35,233552.8,20.027424
Lichen,20,25,35,23734,3.24192
Lichen,21,25,35,30701.6,3.799328
Lichen,22,25,35,47161.5,5.11612
Lichen,23,25,35,21020,3.0248
Lichen,19,50,35,23349.3,3.211144
Lichen,20,50,35,1603584.7,129.629976
Lichen,21,50,35,60699.1,6.199128
Lichen,22,50,35,1723545.5,139.22684
Lichen,23,50,35,384453.4,32.099472
Lichen,19,100,35,39123.3,4.473064
Lichen,20,100,35,17493.3,2.742664
Lichen,21,150,35,27591.4,3.550512
Lichen,22,150,35,17767.9,2.764632
Lichen,23,150,35,7447.2,1.938976
Lichen,19,150,35,21958.2,3.099856
Lichen,20,150,35,18286.7,2.806136
Lichen,21,100,35,3297798.8,265.167104
Lichen,22,100,35,31164,3.83632
Lichen,23,100,35,47523.6,5.145088
Litter,1,25,5,5917.5,2.2536
Litter,2,25,5,0,1.7802
Litter,3,25,5,1938.1,1.935248
Litter,4,25,5,25724.5,3.83816
Litter,5,25,5,3068.1,2.025648
Litter,1,50,5,1082.5,1.8668
Litter,2,50,5,0,1.7802
Litter,3,50,5,2687.7,1.995216
Litter,4,50,5,0,1.7802
Litter,5,50,5,1491.6,1.899528
Litter,1,100,5,8971,2.49788
Litter,2,100,5,10848.9,2.648112
Litter,3,100,5,8581.5,2.46672
Litter,4,100,5,1517.4,1.901592
Litter,5,100,5,5884,2.25092
Litter,24,50,35,47367.1,5.132568
Litter,1,150,5,10080.6,2.586648
Litter,2,150,5,1586,1.90708
Litter,3,150,5,10792.1,2.643568
Litter,4,150,5,1360.9,1.889072
Litter,5,150,5,7895.6,2.447148
Litter,24,100,35,35506.8,4.183744
Litter,24,25,35,26441.7,3.458536
