,Bag_ID,sample.x,sample_no,moist_level,temp,1.5s peak area,ppm,mean_blank.x,median_blank.x,n.x,sample.y,mean_blank.y,median_blank.y,n.y,ppm_corrected
11,A,Lichen,4,25,5,10428.7,2.649796,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.057164
15,A,Lichen,5,25,5,10541,2.65878,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.04818
17,A,Lichen,3,25,5,11152.2,2.707676,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.999284
26,A,Lichen,1,25,5,12991.6,2.854828,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.852132
27,A,Lichen,2,25,5,20338.8,3.442604,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.264356
40,A,Litter,4,25,5,25724.5,3.83816,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-0.870018
51,A,Litter,2,25,5,0,1.7802,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.927978
52,A,Litter,3,25,5,1938.1,1.935248,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.77293
62,A,Litter,1,25,5,5917.5,2.2536,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.454578
76,A,Litter,5,25,5,3068.1,2.025648,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.68253
4,A,Moss,3,25,5,8094.5,2.46306,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-2.076164
10,A,Moss,2,25,5,10788.7,2.678596,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-1.860628
16,A,Moss,1,25,5,7288.6,2.398588,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-2.140636
30,A,Moss,4,25,5,19447.5,3.3713,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-1.167924
31,A,Moss,5,25,5,4629,2.18582,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-2.353404
1,A,Soil,2,25,5,0,1.8155,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.348568
3,A,Soil,1,25,5,8393.6,2.486988,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-1.67708
13,A,Soil,3,25,5,0,1.8155,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.348568
14,A,Soil,4,25,5,0,1.8155,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.348568
68,A,Soil,5,25,5,0,1.8155,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.348568
87,A,Wood,4,25,5,16224.6,3.113468,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-0.519686
89,A,Wood,5,25,5,13279.3,2.877844,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-0.75531
93,A,Wood,1,25,5,0,1.8155,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.817654
97,A,Wood,3,25,5,0,1.8155,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.817654
99,A,Wood,2,25,5,12943.2,2.850956,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-0.782198
41,A,Lichen,1,50,5,16637.4,3.146492,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.560468
42,A,Lichen,2,50,5,3587.7,2.102516,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.604444
43,A,Lichen,3,50,5,12843.9,2.843012,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.863948
44,A,Lichen,5,50,5,13090.5,2.86274,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.84422
79,A,Lichen,4,50,5,10680.4,2.669932,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.037028
74,A,Litter,1,50,5,1082.5,1.8668,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.841378
75,A,Litter,2,50,5,0,1.7802,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.927978
78,A,Litter,3,50,5,2687.7,1.995216,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.712962
84,A,Litter,5,50,5,1491.6,1.899528,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.80865
86,A,Litter,4,50,5,0,1.7802,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.927978
