niche,temp,moist_level,sample_no,dry_mass,actual_moist,peak_area,ppm,ppm_corrected,hrs_incubation,flux_nmol_C2H4_g_hr,flux_mol_N_g_hr,flux_gram_N_g_hr,actual_moist_perc,group_mean,group_sd,moist_z,actual_moist_group
Lichen,5,25,1,1.6,1.0125,12991.6,2.854828,-1.852132,22,0,-3.806193246140729e-11,-5.331220694071935e-10,101.25,55.209271145,27.067279053268535,1.700973665080691,"(99.2,226]"
Lichen,5,25,2,2.9,0.479310345,20338.8,3.442604,-1.264356,22,0,-1.433541459186236e-11,-2.0079185156383854e-10,47.9310345,55.209271145,27.067279053268535,-0.2688942848919685,"(40.3,60.9]"
Lichen,5,25,3,2.6,0.296153846,11152.2,2.707676,-1.999284,22,0,-2.5283664805805404e-11,-3.5414070783547455e-10,29.6153846,55.209271145,27.067279053268535,-0.9455655477830303,"[1.21,40.3]"
Lichen,5,25,4,1.82,0.763736264,10428.7,2.649796,-2.057164,22,0,-3.7165194444303836e-11,-5.205617290230306e-10,76.3736264,55.209271145,27.067279053268535,0.7819166164928677,"(60.9,99.2]"
Lichen,5,25,5,2.36,0.381355932,10541,2.65878,-2.04818,22,0,-2.853612506690144e-11,-3.996969429745684e-10,38.1355932,55.209271145,27.067279053268535,-0.6307866376741792,"[1.21,40.3]"
Lichen,5,50,1,0.25,1.52,16637.4,3.146492,-1.560468,22,0,-2.0523609375292843e-10,-2.874680394369143e-9,152,54.50758062,108.67380000843337,0.8971106133441026,"(99.2,226]"
Lichen,5,50,2,1.58,1.291139241,3587.7,2.102516,-2.604444,22,0,-5.419969199095957e-11,-7.591588258097735e-10,129.1139241,54.50758062,108.67380000843337,0.6865163772152105,"(99.2,226]"
Lichen,5,50,3,4.59,0.422657952,12843.9,2.843012,-1.863948,22,0,-1.3352420118839756e-11,-1.8702334287855281e-10,42.2657952,54.50758062,108.67380000843337,-0.1126470724226999,"(40.3,60.9]"
Lichen,5,50,4,2.43,0.991769547,10680.4,2.669932,-2.037028,22,0,-2.7563198117787163e-11,-3.8606944707640945e-10,99.1769547,54.50758062,108.67380000843337,0.4110408771620532,"(60.9,99.2]"
Lichen,5,50,5,6.79,0.263622975,13090.5,2.86274,-1.84422,22,0,-8.930624615837976e-12,-1.250885798066578e-10,26.362297499999997,54.50758062,108.67380000843337,-0.2589886717664778,"[1.21,40.3]"
Lichen,5,100,1,4.93,0.381338742,4669.9,2.189092,-2.517868,22,0,-1.679286979839041e-11,-2.3521268940511496e-10,38.1338742,67.577514,52.88857007309739,-0.5567108310794919,"[1.21,40.3]"
Lichen,5,100,2,1.25,1.016,6637.5,2.3465,-2.36046,22,0,-6.209055102187773e-11,-8.696837209981348e-10,101.6,67.577514,52.88857007309739,0.6432861760674842,"(99.2,226]"
Lichen,5,100,3,2.74,0.171532847,7261.1,2.396388,-2.310572,22,0,-2.7727315555970215e-11,-3.88368190797808e-10,17.1532847,67.577514,52.88857007309739,-0.9534050406412685,"[1.21,40.3]"
Lichen,5,100,4,3.45,0.55942029,3497.9,2.095332,-2.611628,22,0,-2.4890355684811325e-11,-3.486317449704468e-10,55.942029000000005,67.577514,52.88857007309739,-0.21999999213286658,"(40.3,60.9]"
Lichen,5,100,5,0.23,2.260869565,125985.7,11.894356,7.187396,22,3.082505598018385,1.0275018660061283e-9,1.4391910386588038e-8,226.0869565,67.577514,52.88857007309739,2.9970453404379027,"(99.2,226]"
Lichen,5,150,1,0.95,1.905263158,402320.5,34.00114,29.29418,22,3.0417104994489317,1.0139034998163105e-9,1.4201442150877118e-8,190.5263158,113.042837835,77.04552767916405,1.0056843050989237,"(99.2,226]"
Lichen,5,150,2,2.52,0.992063492,21634.6,3.546268,-1.160692,22,0,-1.5144513685111124e-11,-2.1212465983324599e-10,99.2063492,113.042837835,77.04552767916405,-0.17958847257972496,"(60.9,99.2]"
