niche,sample_no,temp_C,moist,ppm,Bag_ID,avg_blank,bag_avg,ppm_corrected,incubation_time
Litter,1,5,25,2.32206,AB,2.06210175,2.1591825,-1.89922425,24
Litter,2,5,25,2.533506,AB,2.06210175,2.1591825,-1.68777825,24
Litter,3,5,25,2.172525,AB,2.06210175,2.1591825,-2.04875925,24
Litter,4,5,25,2.819832,AB,2.06210175,2.1591825,-1.40145225,24
Litter,5,5,25,2.274162,AB,2.06210175,2.1591825,-1.94712225,24
Litter,6,5,25,2.113251,AB,2.06210175,2.1591825,-2.10803325,24
Litter,7,5,25,3.705378,AB,2.06210175,2.1591825,-0.51590625,24
Litter,8,5,25,2.231574,AB,2.06210175,2.1591825,-1.98971025,24
Litter,9,5,25,2.567031,AB,2.06210175,2.1591825,-1.65425325,24
Litter,1,5,50,2.273442,AB,2.06210175,2.1591825,-1.94784225,24
Litter,2,5,50,1.8582,AB,2.06210175,2.1591825,-2.36308425,24
Litter,3,5,50,1.995639,AB,2.06210175,2.1591825,-2.22564525,24
Litter,4,5,50,2.07033,AB,2.06210175,2.1591825,-2.15095425,24
Litter,5,5,50,2.544765,AB,2.06210175,2.1591825,-1.67651925,24
Litter,6,5,50,2.345271,AB,2.06210175,2.1591825,-1.87601325,24
Litter,7,5,50,2.69322,AB,2.06210175,2.1591825,-1.52806425,24
Litter,8,5,50,2.305851,AB,2.06210175,2.1591825,-1.91543325,24
Litter,9,5,50,2.340384,AB,2.06210175,2.1591825,-1.88090025,24
Litter,1,5,100,2.505336,AB,2.06210175,2.1591825,-1.71594825,24
Litter,2,5,100,2.312961,AB,2.06210175,2.1591825,-1.90832325,24
Litter,3,5,100,2.428593,AB,2.06210175,2.1591825,-1.79269125,24
Litter,4,5,100,2.155686,AB,2.06210175,2.1591825,-2.06559825,24
Litter,5,5,100,2.135247,AB,2.06210175,2.1591825,-2.08603725,24
Litter,6,5,100,3.260724,AB,2.06210175,2.1591825,-0.96056025,24
Litter,7,5,100,2.750217,AB,2.06210175,2.1591825,-1.47106725,24
Litter,8,5,100,2.414607,AB,2.06210175,2.1591825,-1.80667725,24
Litter,9,5,100,2.218911,AB,2.06210175,2.1591825,-2.00237325,24
Litter,1,5,150,2.469741,AB,2.06210175,2.1591825,-1.75154325,24
Litter,2,5,150,2.502195,AB,2.06210175,2.1591825,-1.71908925,24
Litter,3,5,150,2.481225,AB,2.06210175,2.1591825,-1.74005925,24
Litter,4,5,150,2.385942,AB,2.06210175,2.1591825,-1.83534225,24
Litter,5,5,150,3.099606,AB,2.06210175,2.1591825,-1.12167825,24
Litter,6,5,150,2.506299,AB,2.06210175,2.1591825,-1.71498525,24
Litter,7,5,150,3.360003,AB,2.06210175,2.1591825,-0.86128125,24
