"","niche","temp","flux_nmol_C2H4_g_hr","actual_moist"
"1","Soil",5,0,17.60869565
"2","Soil",5,0,18.9336235
"3","Soil",5,0,17.48099891
"4","Soil",5,0.055562709,17.79475983
"5","Soil",5,0,15.82887701
"6","Soil",5,0.000935967,15.74889868
"7","Soil",5,0,15.25423729
"8","Soil",5,0,15.26147279
"9","Soil",5,0,15.44973545
"10","Soil",5,0,31.96448391
"11","Soil",5,0,32.06703911
"12","Soil",5,0,31.07798165
"13","Soil",5,0,28.77777778
"14","Soil",5,0,29.75663717
"15","Soil",5,0,29.32900433
"16","Soil",5,0,27.98672566
"17","Soil",5,0,27.27272727
"18","Soil",5,0,55.79631636
"19","Soil",5,0,53.82932166
"20","Soil",5,0,55.59210526
"21","Soil",5,0,55.15743757
"22","Soil",5,0,55.87583149
"23","Soil",5,0,52.75059796
"24","Soil",5,0,52.61391926
"25","Soil",5,0,52.41758242
"26","Soil",5,0,53.37016575
"27","Soil",5,0,108.5365854
"28","Soil",5,0,115.0170648
"29","Soil",5,0,101.1652542
"30","Soil",5,0.058234508,108.3615819
"31","Soil",5,0,104.9568966
"32","Soil",5,0,102.583423
"33","Soil",5,0,106.8403909
"34","Soil",5,0,104.6186896
"35","Soil",15,0,17.84140969
"36","Soil",15,0,18.50574713
"37","Soil",15,0,15.33406353
"38","Soil",15,0,15.8008658
"39","Soil",15,0,15.22896699
"40","Soil",15,0.026686206,13.85606874
"41","Soil",15,0,15.85760518
"42","Soil",15,0,14.63675214
"43","Soil",15,0,15.42553191
"44","Soil",15,0,32.55555556
"45","Soil",15,0,33.14606742
"46","Soil",15,0,30.51031488
"47","Soil",15,0,32.14682981
"48","Soil",15,0,31.3876652
"49","Soil",15,0,28.98876404
"50","Soil",15,0.129251395,30.53435115
"51","Soil",15,0,28.1886388
"52","Soil",15,0,27.05366922
"53","Soil",15,0,55.72858732
"54","Soil",15,0,59.77777778
"55","Soil",15,0,55.87583149
"56","Soil",15,0,54.66520307
"57","Soil",15,0,49.61748634
"58","Soil",15,0,53.45982143
"59","Soil",15,0,52.69526953
"60","Soil",15,0,54.56521739
"61","Soil",15,0,50.76923077
"62","Soil",15,0,108.5460599
"63","Soil",15,0,108.4080717
"64","Soil",15,0,102.4336283
"65","Soil",15,0,108.3333333
"66","Soil",15,0,106.7180617
"67","Soil",15,0,106.8660022
"68","Soil",15,0,104.5851528
"69","Soil",15,0,104.3383948
"70","Soil",15,0,98.39400428
"71","Soil",25,0,17.5
"72","Soil",25,0,18.04180418
"73","Soil",25,0,16.81127983
"74","Soil",25,0,15.90145577
"75","Soil",25,0,15.69264069
"76","Soil",25,0,15.00535906
"77","Soil",25,0,15.75562701
"78","Soil",25,0,14.76793249
"79","Soil",25,0,31.15299335
"80","Soil",25,0,31.69398907
"81","Soil",25,0,32.26872247
"82","Soil",25,0,31.57315732
"83","Soil",25,0,31.79317932
"84","Soil",25,0,31.91035219
"85","Soil",25,0,30.12958963
"86","Soil",25,0,30.35522067
"87","Soil",25,0,29.33618844
"88","Soil",25,0,53.51812367
"89","Soil",25,0.007243403,60
"90","Soil",25,0,53.18918919
"91","Soil",25,0,53.72168285
"92","Soil",25,0,51.19825708
"93","Soil",25,0,53.13174946
"94","Soil",25,0,53.35497835
"95","Soil",25,0,53.0237581
"96","Soil",25,0,54.95103373
"97","Soil",25,0,108.4538376
"98","Soil",25,0.004353058,102.6030369
"99","Soil",25,0,105.2462527
"100","Soil",25,0,105.8002148
"101","Soil",25,0,104.250797
"102","Soil",25,0,104.5016077
"103","Soil",25,0,101.6913319
"104","Soil",25,0,104.7669492
"105","Soil",25,0,104.1139241
"106","Soil",35,0.733852678,16.35768811
"107","Soil",35,1.864935054,16.433942
"108","Soil",35,0,17.233809
"109","Soil",35,0,17.26775956
