,data_file,niche,sample_no,temp_C,moist_level,moist,peaka rea,ppm,Bag_ID,bag_avg,avg_blank,median_blank,ppm_orreted,incubation_time
109,2022_09_02_REH_lim_exp2_091,Litter,1,5,0.25,25,5154,2.32206,AB,2.1591825,2.06210175,2.050611,-1.8877335,24
110,2022_09_02_REH_lim_exp2_092,Litter,2,5,0.25,25,7503.4,2.533506,AB,2.1591825,2.06210175,2.050611,-1.6762875,24
111,2022_09_02_REH_lim_exp2_093,Litter,3,5,0.25,25,3492.5,2.172525,AB,2.1591825,2.06210175,2.050611,-2.0372685,24
112,2022_09_02_REH_lim_exp2_094,Litter,4,5,0.25,25,10684.8,2.819832,AB,2.1591825,2.06210175,2.050611,-1.3899615,24
113,2022_09_02_REH_lim_exp2_095,Litter,5,5,0.25,25,4621.8,2.274162,AB,2.1591825,2.06210175,2.050611,-1.9356315,24
114,2022_09_02_REH_lim_exp2_096,Litter,6,5,0.25,25,2833.9,2.113251,AB,2.1591825,2.06210175,2.050611,-2.0965425,24
115,2022_09_02_REH_lim_exp2_097,Litter,7,5,0.25,25,20524.2,3.705378,AB,2.1591825,2.06210175,2.050611,-0.5044155,24
116,2022_09_02_REH_lim_exp2_098,Litter,8,5,0.25,25,4148.6,2.231574,AB,2.1591825,2.06210175,2.050611,-1.9782195,24
117,2022_09_02_REH_lim_exp2_099,Litter,9,5,0.25,25,7875.9,2.567031,AB,2.1591825,2.06210175,2.050611,-1.6427625,24
118,2022_09_02_REH_lim_exp2_101,Litter,1,5,0.5,50,4613.8,2.273442,AB,2.1591825,2.06210175,2.050611,-1.9363515,24
119,2022_09_02_REH_lim_exp2_102,Litter,2,5,0.5,50,0,1.8582,AB,2.1591825,2.06210175,2.050611,-2.3515935,24
120,2022_09_02_REH_lim_exp2_103,Litter,3,5,0.5,50,1527.1,1.995639,AB,2.1591825,2.06210175,2.050611,-2.2141545,24
121,2022_09_02_REH_lim_exp2_104,Litter,4,5,0.5,50,2357,2.07033,AB,2.1591825,2.06210175,2.050611,-2.1394635,24
122,2022_09_02_REH_lim_exp2_105,Litter,5,5,0.5,50,7628.5,2.544765,AB,2.1591825,2.06210175,2.050611,-1.6650285,24
123,2022_09_02_REH_lim_exp2_106,Litter,6,5,0.5,50,5411.9,2.345271,AB,2.1591825,2.06210175,2.050611,-1.8645225,24
124,2022_09_02_REH_lim_exp2_107,Litter,7,5,0.5,50,9278,2.69322,AB,2.1591825,2.06210175,2.050611,-1.5165735,24
125,2022_09_02_REH_lim_exp2_108,Litter,8,5,0.5,50,4973.9,2.305851,AB,2.1591825,2.06210175,2.050611,-1.9039425,24
126,2022_09_02_REH_lim_exp2_109,Litter,9,5,0.5,50,5357.6,2.340384,AB,2.1591825,2.06210175,2.050611,-1.8694095,24
127,2022_09_02_REH_lim_exp2_111,Litter,1,5,1,100,7190.4,2.505336,AB,2.1591825,2.06210175,2.050611,-1.7044575,24
