"niche","temp_C","actual_moist_group","mean_nmol_c2h4_g_hr","log_mean_c2h4","geomean_nmol_c2h4_g_hr","sd","n","mean_moist","sd_moist"
"Litter",5,"(159,231]",0.007346485777777777,-10.535506790615194,2.6575872820275374e-5,0.02203945733333333,9,188.3031985,11.64370285836856
"Litter",5,"(55.3,92.7]",0,-11.512925464970229,9.999999999999997e-6,0,12,70.92310126,10.7752489376525
"Litter",5,"(92.7,159]",0,-11.512925464970229,9.999999999999997e-6,0,9,135.72087136666667,9.544534076796149
"Litter",5,"[34,55.3]",0,-11.512925464970229,9.999999999999997e-6,0,6,48.83826251166667,2.8050722624641553
"Litter",15,"(159,231]",0.0036867204000000002,-10.69164908813488,2.273399701195406e-5,0.011658433560207033,10,182.29284616,20.76897901176085
"Litter",15,"(55.3,92.7]",0,-11.512925464970229,9.999999999999997e-6,0,9,65.8563130888889,9.377458454779939
"Litter",15,"(92.7,159]",0,-11.512925464970229,9.999999999999997e-6,0,8,127.98908253375,16.18582635043375
"Litter",15,"[34,55.3]",0,-11.512925464970229,9.999999999999997e-6,0,8,46.64588392,6.449375696774774
"Litter",25,"(159,231]",0,-11.512925464970229,9.999999999999997e-6,0,8,194.2898043625,9.853339207668935
"Litter",25,"(55.3,92.7]",0,-11.512925464970229,9.999999999999997e-6,0,7,67.26241864571429,9.430601186918706
"Litter",25,"(92.7,159]",0.045638663333333336,-9.331668408064363,8.857433561455906e-5,0.10177424505421814,9,127.7847655111111,12.457143852472928
"Litter",25,"[34,55.3]",0,-11.512925464970229,9.999999999999997e-6,0,11,45.205963782727274,7.727148895936051
"Litter",35,"(159,231]",0.5314016392222222,-0.9379978951938602,0.391410696648777,0.3441674955487795,9,191.92984903333334,17.559620274141515
"Litter",35,"(55.3,92.7]",0.3612620084285714,-1.1308870169512528,0.32274684749155513,0.20802736949043318,7,64.49388952285715,3.838246070612305
"Litter",35,"(92.7,159]",0.5765618956666667,-0.78454311521838,0.4563281435492911,0.3384288698940095,9,131.9265802222222,13.000442579638916
"Litter",35,"[34,55.3]",0.15958397981818181,-6.064312252480657,0.002324356035046824,0.21290161594327978,11,43.750545133636365,6.3457286458796185
"Soil",5,"(25,48.4]",0,-11.512925464970229,9.999999999999997e-6,0,8,29.77904711,1.788770872455264
"Soil",5,"(48.4,69.6]",0,-11.512925464970229,9.999999999999997e-6,0,9,54.15591974777778,1.4497090817121308
"Soil",5,"(69.6,115]",0.0072793135,-10.429197966129335,2.9556763231739134e-5,0.020589007752931123,8,106.5099858,4.309262671042393
"Soil",5,"[13.9,25]",0.0062776306666666665,-10.049316019065191,4.321529739345029e-5,0.018484496356947714,9,16.59569990111111,1.3652634493187485
"Soil",15,"(25,48.4]",0.014361266111111111,-10.461035814085076,2.8630561862654667e-5,0.04308379833333333,9,30.501317342222222,2.0685644397264675
"Soil",15,"(48.4,69.6]",0,-11.512925464970229,9.999999999999997e-6,0,9,54.128269457777776,3.002952143294695
"Soil",15,"(69.6,115]",0,-11.512925464970229,9.999999999999997e-6,0,9,105.40252322,3.374747082051318
"Soil",15,"[13.9,25]",0.002965134,-10.636293060090313,2.4027944276394523e-5,0.008895402,9,15.831890123333332,1.4704592612097163
"Soil",25,"(25,48.4]",0,-11.512925464970229,9.999999999999997e-6,0,9,31.134821384444447,0.9797385244126614
"Soil",25,"(48.4,69.6]",8.048225555555555e-4,-10.781076473410117,2.078920963502913e-5,0.0024144676666666668,9,54.009863603333336,2.445490556842258
"Soil",25,"(69.6,115]",4.836731111111111e-4,-10.837553979009504,1.9647627221836637e-5,0.0014510193333333332,9,104.60310576666667,1.9220468545296892
"Soil",25,"[13.9,25]",0,-11.512925464970229,9.999999999999997e-6,0,8,16.18451237875,1.1634910857542746
