Site,Species,Species.Name,Functional.Group,mean.cover
BiscBas,poju,Polytrichum juniperinum,Moss,4.24
BiscBas,clacar,Cladonia cariosa ,Lichen,1.6
BiscBas,clafri,Cladonia fimbriata,Lichen,1.2
BiscBas,peca,Peltigera canadensis,Lichen,0.28
FirLopS,clafri,Cladonia fimbriata,Lichen,8.2
FirLopS,peca/clafri,Unknown,Lichen,5.68
FirLopS,peca,Peltigera canadensis,Lichen,0.64
FirLopS,clacar,Cladonia cariosa ,Lichen,0.48
FirLopS,CEPU,Ceratodon purpureus,Moss,0.36
FounEast,poju,Polytrichum juniperinum,Moss,0.84
FounEast,pleuro,FeatherMoss,Moss,0.4
FounEast,clafri,Cladonia fimbriata,Lichen,0.2
GibFalls,clacar,Cladonia cariosa ,Lichen,2.44
GibFalls,clafri,Cladonia fimbriata,Lichen,1.28
GibFalls,peca,Peltigera canadensis,Lichen,1
GibFalls,poju,Polytrichum juniperinum,Moss,0.2
GravPit,clafri,Cladonia fimbriata,Lichen,4.4
GravPit,peca,Peltigera canadensis,Lichen,0.72
GravPit,poju,Polytrichum juniperinum,Moss,0.64
GravPit,clacar,Cladonia cariosa ,Lichen,0.28
