Site,Functional.Group,mean.cover.percent
84blowdn,Lichen,1.64
84blowdn,Moss,13.28
BiscBas,Lichen,3.08
BiscBas,Moss,4.24
CascCk,Lichen,3.48
CascCk,Moss,9.92
CascMeaN,Lichen,0.8
CascMeaN,Moss,14.2
CascMeaS,Lichen,0.56
CascMeaS,Moss,3.92
CygLkNo,Lichen,9.12
CygLkNo,Moss,6.64
FirLopSo,Lichen,15
FirLopSo,Moss,0.36
FounEast,Lichen,0.2
FounEast,Moss,1.24
GibFalls,Lichen,4.72
GibFalls,Moss,0.2
GravPit,Lichen,5.4
GravPit,Moss,0.64
LewCan,Lichen,0.72
LewCan,Moss,3.96
PitchHOB,Lichen,0.12
PitchHOB,Moss,2.28
RidLkHO,Lichen,0.68
RidLkHO,Moss,7.08
SoLewCan,Lichen,0.6
SoLewCan,Moss,2.8
