Sample_ID,sample,moisture ,temp,1.5s peak area,known,ppm calc,,
2022_06_16_REH_climexp_001,5 ppm,,,40662.4,5,,,
2022_06_16_REH_climexp_002,5 ppm,,,37722.3,5,,,
2022_06_16_REH_climexp_003,5 ppm,,,39459.5,5,,,
2022_06_16_REH_climexp_004,10 ppm,,,102999.6,10,,,
2022_06_16_REH_climexp_005,10 ppm,,,101360.1,10,,,
2022_06_16_REH_climexp_006,10 ppm,,,99911.8,10,,,
2022_06_16_REH_climexp_007,25 ppm,,,272506.5,25,,,
2022_06_16_REH_climexp_008,25 ppm,,,260876.7,25,,,
2022_06_16_REH_climexp_009,25 ppm,,,267243.8,25,,,
2022_06_16_REH_climexp_010,100 ppm,,,1039643.2,100,,,
2022_06_16_REH_climexp_011,100 ppm,,,1029560.5,100,,,
2022_06_16_REH_climexp_012,100 ppm,,,1039635.5,100,,,
2022_06_16_REH_climexp_013,Moss 13,50,25,25876,,2.9694,,
2022_06_16_REH_climexp_014,Moss 14,50,25,19526.7,,2.33447,,
2022_06_16_REH_climexp_015,Moss 15,50,25,14263.2,,1.80812,,
2022_06_16_REH_climexp_016,Moss 16,50,25,64431.7,,6.82497,,
2022_06_16_REH_climexp_017,Moss 17,50,25,24124.8,,2.79428,,
2022_06_16_REH_climexp_018,Moss 18,50,25,2182.2,,0.60002,,
2022_06_16_REH_climexp_019,Moss 13,100,25,16830.7,,2.06487,,
2022_06_16_REH_climexp_020,Moss 14,100,25,13570.6,,1.73886,,
2022_06_16_REH_climexp_021,Moss 15,100,25,13395.1,,1.72131,,
2022_06_16_REH_climexp_022,Moss 16,100,25,392541.2,,39.63592,,
2022_06_16_REH_climexp_023,Moss 17,100,25,20829.4,,2.46474,,
2022_06_16_REH_climexp_024,Moss 18,100,25,1535.3,,0.53533,,
2022_06_16_REH_climexp_025,Moss 13,150,25,23348.3,,2.71663,,
2022_06_16_REH_climexp_026,Moss 14,150,25,19737.4,,2.35554,,
2022_06_16_REH_climexp_027,Moss 15,150,25,29323.8,,3.31418,,
2022_06_16_REH_climexp_028,Moss 16,150,25,60996.7,,6.48147,,
2022_06_16_REH_climexp_029,Moss 17,150,25,906847.1,,91.06651,,
2022_06_16_REH_climexp_030,Moss 18,150,25,85971.2,,8.97892,,
2022_06_16_REH_climexp_031,10 ppm,,,112108.2,10,11.59262,,
2022_06_16_REH_climexp_032,10 ppm,,,107867.4,10,11.16854,,
2022_06_16_REH_climexp_033,10 ppm,,,100069.2,10,10.38872,,
2022_06_16_REH_climexp_034,Moss 19,25,35,24222.1,,2.80401,,
2022_06_16_REH_climexp_035,Moss 20,25,35,352792.6,,35.66106,,
2022_06_16_REH_climexp_036,Moss 21,25,35,37936,,4.1754,,
2022_06_16_REH_climexp_037,Moss 22,25,35,31111.8,,3.49298,,
2022_06_16_REH_climexp_038,Moss 23,25,35,11017.5,,1.48355,,
2022_06_16_REH_climexp_039,Moss 24,25,35,4232.5,,0.80505,,
2022_06_16_REH_climexp_040,Moss 19,50,35,0,,0.3818,,*empty- could not draw
2022_06_16_REH_climexp_041,Moss 20,50,35,25647.5,,2.94655,,
2022_06_16_REH_climexp_042,Moss 21,50,35,15008.2,,1.88262,,
2022_06_16_REH_climexp_043,Moss 22,50,35,157364,,16.1182,,
2022_06_16_REH_climexp_044,Moss 23,50,35,7057.4,,1.08754,,
2022_06_16_REH_climexp_045,Moss 24,50,35,3345.7,,0.71637,,
2022_06_16_REH_climexp_046,Moss 19,100,35,14649.8,,1.84678,,
2022_06_16_REH_climexp_047,Moss 20,100,35,19373.5,,2.31915,,
2022_06_16_REH_climexp_048,Moss 21,100,35,80548,,8.4366,,
