sample,temp,moist_level,sample_no,tin_mass,tin _wet_mass,tin _dry_mass,dry_mass,actual_moist,
Lichen,35,50,20,1.11,3.58,,-1.11,-322.5225225,
Lichen,50,15,11,1.09,3.63,5.66,4.57,-44.42013129,"} not sure what happened here, maybe measurement error, but there is no way to correct these now that the samples have been composted. "
Litter,25,15,12,1.05,4.23,5.32,4.27,-25.52693208,
Moss,25,5,5,1.08,1.25,1.255,0.175,-2.857142857,
Lichen,100,15,10,1.08,3.58,3.55,2.47,1.214574899,
Lichen,50,15,9,1.07,4.24,4.14,3.07,3.25732899,
Wood,25,5,6,1.09,2.88,2.71,1.62,10.49382716,
Litter,25,25,16,1.11,2.8,2.62,1.51,11.9205298,
Litter,35,100,21,1.12,3.079,2.86,1.74,12.5862069,
Litter,100,15,9,1.07,2.48,2.32,1.25,12.8,
Litter,5,100,6,1.1,2.91,2.68,1.58,14.55696203,
Litter,35,25,24,1.089,2.67,2.46,1.371,15.31728665,
Litter,5,25,1,1.1,3.09,2.82,1.72,15.69767442,
Litter,35,50,21,1.114,2.44,2.26,1.146,15.70680628,
Litter,35,50,20,1.12,3.643,3.3,2.18,15.73394495,
Lichen,100,5,3,1.05,4.26,3.79,2.74,17.15328467,
Soil,100,5,1,1.08,16.92,14.587,13.507,17.27252536,
Soil,50,25,16,1.12,15.81,13.57,12.45,17.99196787,
Litter,35,150,22,1.088,3.604,3.22,2.132,18.01125704,
Soil,50,15,12,1.12,16.51,14.115,12.995,18.43016545,
Soil,150,15,9,1.1,27.83,23.669,22.569,18.43679383,
Wood,150,25,16,1.08,2.75,2.49,1.41,18.43971631,
Soil,25,25,14,1.1,13.6,11.65,10.55,18.48341232,
Soil,100,25,13,1.088,18.83,16.06,14.972,18.50120224,
Moss,25,25,18,1.15,7.05,6.12,4.97,18.71227364,
Soil,150,35,20,1.08,15.46,13.19,12.11,18.74483898,
Soil,25,25,15,1.09,10.22,8.77,7.68,18.88020833,
Soil,25,15,10,1.07,28.52,24.131,23.061,19.03213217,
Soil,100,25,18,1.098,19.2,16.25,15.152,19.46937698,
Soil,50,35,19,1.09,21.05,17.76,16.67,19.73605279,
Soil,100,35,23,1.04,18.8,15.84,14.8,20,
Moss,100,35,19,1.12,8.84,7.55,6.43,20.0622084,
Soil,150,15,7,1.1,27.41,23.011,21.911,20.07667382,
Soil,25,25,16,1.1,19.72,16.6,15.5,20.12903226,
Soil,100,35,19,1.05,18.22,15.31,14.26,20.40673212,
Soil,50,5,4,1.08,15.55,13.081,12.001,20.57328556,
Soil,100,15,9,1.08,25.56,21.364,20.284,20.68625518,
Soil,50,15,9,1.09,26.09,21.802,20.712,20.70297412,
Soil,100,5,4,1.11,21.89,18.281,17.171,21.01799546,
Soil,50,15,11,1.13,20.19,16.862,15.732,21.15433511,
Soil,25,5,3,1.1,12.46,10.431,9.331,21.74472189,
Litter,25,25,17,1.12,2.98,2.64,1.52,22.36842105,
Soil,150,25,16,1.08,16.75,13.88,12.8,22.421875,
Soil,50,35,20,1.09,10.35,8.64,7.55,22.64900662,
Soil,50,35,22,1.07,16.72,13.8,12.73,22.93794187,
Soil,25,35,19,1.06,12.71,10.49,9.43,23.54188759,
Soil,25,15,9,1.07,22.86,18.69,17.62,23.66628831,
Soil,100,25,14,1.11,14.01,11.53,10.42,23.80038388,
Wood,50,35,21,1.05,3.75,3.23,2.18,23.85321101,
Soil,150,15,8,1.11,16.67,13.673,12.563,23.85576693,
Soil,50,15,10,1.1,18.91,15.469,14.369,23.94738674,
Soil,50,5,1,1.1,17.91,14.659,13.559,23.97669445,
Wood,100,5,1,1.05,3.83,3.29,2.24,24.10714286,
Lichen,50,15,8,1.09,14.16,11.62,10.53,24.12155745,
Moss,50,5,6,1.06,7.13,5.95,4.89,24.13087935,
Soil,150,35,22,1.06,24.03,19.56,18.5,24.16216216,
Moss,50,35,21,1.12,6.14,5.15,4.03,24.56575682,
Soil,150,35,21,1.06,15.41,12.55,11.49,24.89120975,
Soil,100,35,24,1.08,16.26,13.23,12.15,24.9382716,
Soil,25,15,7,1.08,17.66,14.332,13.252,25.11319046,
Soil,50,5,6,1.1,21.89,17.709,16.609,25.17309892,
Moss,25,35,23,1.12,5.54,4.65,3.53,25.21246459,
Soil,100,25,16,1.1,22.91,18.5,17.4,25.34482759,
Soil,150,25,13,1.13,19.96,16.15,15.02,25.36617843,
Soil,150,25,15,1.12,20.09,16.25,15.13,25.38003966,
Soil,100,35,21,1.09,20.87,16.86,15.77,25.4280279,
Soil,25,25,13,1.1,12.48,10.169,9.069,25.48241261,
Moss,25,5,2,1.04,5.56,4.64,3.6,25.55555556,
Moss,25,5,4,1.06,8.27,6.8,5.74,25.6097561,
Soil,25,15,8,1.08,11.03,8.998,7.918,25.66304622,
Lichen,25,100,15,1.07,6.84,5.66,4.59,25.708061,
Moss,25,35,22,1.15,5.06,4.26,3.11,25.72347267,
Litter,150,15,11,1.04,3.19,2.75,1.71,25.73099415,
Soil,50,35,24,1.06,24.52,19.7,18.64,25.8583691,
Soil,150,5,5,1.1,20.1,16.142,15.042,26.31299029,
Lichen,50,5,5,1.08,9.66,7.87,6.79,26.3622975,
Soil,25,5,2,1.09,16.27,13.059,11.969,26.82763807,
Moss,100,15,12,1.09,5.62,4.66,3.57,26.8907563,
Soil,25,5,4,1.1,13.32,10.73,9.63,26.89511942,
Wood,100,35,19,1.05,5.65,4.67,3.62,27.0718232,
Litter,25,15,8,1.13,2.77,2.42,1.29,27.13178295,
