Sample_ID,sample,,1.5s peak area,known,06 07,,
2022_06_07_REH_Nfix_spring_074,5 ppm standard,,49008.08,5,5.7008464,,DATA file name is REH_06_07_Nfix_Spring_001...
2022_06_07_REH_Nfix_spring_075,5 ppm standard,,50600.7,5,5.828256,,
2022_06_07_REH_Nfix_spring_076,5 ppm standard,,49434.8,5,5.734984,,
2022_06_07_REH_Nfix_spring_077,10 ppm,,100498.7,10,,,
2022_06_07_REH_Nfix_spring_078,10 ppm,,97061.1,10,,,
2022_06_07_REH_Nfix_spring_079,10 ppm,,101153.9,10,,,
2022_06_07_REH_Nfix_spring_080,25 ppm,,244092.7,25,,,
2022_06_07_REH_Nfix_spring_081,25 ppm ,,252222,25,,,
2022_06_07_REH_Nfix_spring_082,25 ppm,,255147,25,,,
2022_06_07_REH_Nfix_spring_083,100 ppm,1219066.3,,100,,,
2022_06_07_REH_Nfix_spring_084,100 ppm,1164819.6,,100,,,
2022_06_07_REH_Nfix_spring_085,100 ppm,1164304.2,,100,,,
2022_06_07_REH_Nfix_spring_086,10 ppm,,104267.4,10,,,
2022_06_07_REH_Nfix_spring_087,100 ppm,,1207939.2,100,,,
2022_06_07_REH_Nfix_spring_088,100 ppm,,1188931.2,100,,,
2022_06_07_REH_Nfix_spring_089,100 ppm,,1180370.5,100,,,
2022_06_07_REH_Nfix_spring_090,Bag A blank,,108137.9,10.812732,,,
2022_06_07_REH_Nfix_spring_091,Bag B blank,,133936.5,12.87662,,,
2022_06_07_REH_Nfix_spring_092,FounEast Soil SW,,9393.8,2.913204,,,
2022_06_07_REH_Nfix_spring_093,FounEast Litter B,,4492.6,2.521108,,,
2022_06_07_REH_Nfix_spring_094,FounEast Moss SW,,18320,3.6273,,,
2022_06_07_REH_Nfix_spring_095,FounEast Moss NW,,3445.3,2.437324,,,
2022_06_07_REH_Nfix_spring_096,FounEast Wood SW,,14278.9,3.304012,,,
2022_06_07_REH_Nfix_spring_097,FounEast Wood NW,,16017.4,3.443092,,,
2022_06_07_REH_Nfix_spring_098,FountEast Moss NE,,102531.6,10.364228,,,
2022_06_07_REH_Nfix_spring_099,FountEast Lichen SW,,19673.6,3.735588,,,
2022_06_07_REH_Nfix_spring_100,FountEast Litter NW,,11541.8,3.085044,,,
2022_06_07_REH_Nfix_spring_101,FountEast Lichen NE,,42524.3,5.563644,,,
2022_06_07_REH_Nfix_spring_102,FountEast Litter NE,,15172.7,3.375516,,,
2022_06_07_REH_Nfix_spring_103,FountEast Litter SW,,17652.9,3.573932,,,
2022_06_07_REH_Nfix_spring_104,FountEast Lichen NW,,1878.8,2.312004,,,
