plot,niche,quad,dry_mass,moist
BiscBas,Wood,Blank,3.06,159.80
FirLopSo,Wood,Blank,2.11,244.08
BiscBas,Moss ,Blank,7.83,35.50
FirLopSo,Moss ,Blank,6.4,45.47
FirLopSo,Lichen,Blank,6.26,49.04
BiscBas,Litter,Blank,2.12,65.09
FirLopSo,Litter,Blank,1.41,57.45
BiscBas,Soil,Blank,7.64,43.83
FirLopSo,Soil,Blank,12.26,39.90
BiscBas,Wood,NE,2.47,232.79
FirLopSo,Wood,NE,2.2,183.64
GibFalls,Wood,NE,1.49,239.60
GravPit,Wood,NE,2.57,178.21
BiscBas,Moss ,NE,4.29,72.03
FirLopSo,Moss ,NE,2.5,40.40
GibFalls,Moss ,NE,6.08,48.85
GravPit,Moss ,NE,0.61,362.30
FounEast,Moss ,NE,0.67,179.10
BiscBas,Lichen,NE,3.01,96.01
FirLopSo,Lichen,NE,4.92,70.12
GibFalls,Lichen,NE,2.63,70.72
GravPit,Lichen,NE,3.95,36.81
FounEast,Lichen,NE,2.86,64.12
BiscBas,Litter,NE,1.45,166.90
FirLopSo,Litter,NE,1.11,21.62
GravPit,Litter,NE,1.41,51.77
FounEast,Litter,NE,1.7,111.76
BiscBas,Soil,NE,13.11,35.85
FirLopSo,Soil,NE,8.72,46.45
GibFalls,Soil,NE,6.19,17.03
GravPit,Soil,NE,15.38,20.05
FounEast,Soil,NE,9.45,44.41
BiscBas,Wood,NW,3.12,179.49
FirLopSo,Wood,NW,1.49,112.75
GibFalls,Wood,NW,2.58,181.40
GravPit,Wood,NW,2.87,131.01
FounEast,Wood,NW,1.94,114.64
BiscBas,Moss ,NW,2.36,120.76
FirLopSo,Moss ,NW,1.57,133.12
GibFalls,Moss ,NW,0.73,91.78
GravPit,Moss ,NW,5.86,47.44
FounEast,Moss ,NW,2.37,68.78
BiscBas,Lichen,NW,2.85,154.39
FirLopSo,Lichen,NW,3.54,93.50
GibFalls,Lichen,NW,0.26,80.77
GravPit,Lichen,NW,1.87,91.39
FounEast,Lichen,NW,1.15,297.39
BiscBas,Litter,NW,1.78,89.33
FirLopSo,Litter,NW,1.28,19.53
GibFalls,Litter,NW,1.78,28.65
GravPit,Litter,NW,1.27,53.54
FounEast,Litter,NW,0.96,32.29
BiscBas,Soil,NW,14.09,34.07
FirLopSo,Soil,NW,11.15,43.83
GibFalls,Soil,NW,11.48,27.03
GravPit,Soil,NW,11.97,29.51
FounEast,Soil,NW,12.63,28.53
BiscBas,Wood,SE,2.21,398.19
FirLopSo,Wood,SE,2.74,194.16
BiscBas,Moss ,SE,4.69,44.56
FirLopSo,Moss ,SE,3.42,28.07
BiscBas,Lichen,SE,0.67,210.45
FirLopSo,Lichen,SE,2.14,87.38
BiscBas,Litter,SE,1.59,264.78
FirLopSo,Litter,SE,1.02,41.18
BiscBas,Soil,SE,0.88,727.27
FirLopSo,Soil,SE,6.86,38.98
BiscBas,Wood,SW,3.02,192.38
FirLopSo,Wood,SW,2.1,156.67
FounEast,Wood,SW,2.91,121.99
BiscBas,Moss ,SW,3.15,125.40
FirLopSo,Moss ,SW,3.07,26.71
GibFalls,Moss ,SW,1.29,154.26
GravPit,Moss ,SW,6.01,53.74
FounEast,Moss ,SW,2.18,51.38
BiscBas,Lichen,SW,3.74,100.00
FirLopSo,Lichen,SW,3.29,35.56
GravPit,Lichen,SW,0.88,139.07
FounEast,Lichen,SW,0.89,183.15
BiscBas,Litter,SW,1.55,258.71
FirLopSo,Litter,SW,0.85,29.41
GibFalls,Litter,SW,1.72,104.65
GravPit,Litter,SW,0.78,33.33
FounEast,Litter,SW,1.65,43.64
BiscBas,Soil,SW,0.61,729.51
FirLopSo,Soil,SW,7.75,42.88
GibFalls,Soil,SW,8.46,22.32
GravPit,Soil,SW,10.27,43.67
FounEast,Soil,SW,13.61,35.15
