sample_name,sample_ID,niche,Treatment,species,tin_no,tin_mass,tin_wet_mass,tin _dry_mass,dry_mass,moist,1.5s_area,ppm,corrected_ppm,Bag_ID
Huck,Blank,endo,pre,NA,8,1.09,3.99,2.38,1.29,124.8062016,36940,4.8816,,
Glade,Blank,endo,pre,NA,59,1.14,3.73,2.22,1.08,139.8148148,16816,3.27168,,
Huck,Blank,rhizo,pre,NA,14,1.1,2.05,2,0.9,5.555555556,11354,2.83472,,
Berry,Blank,rhizo,pre,NA,80,1.13,2.27,2.25,1.12,1.785714286,9863,2.71544,,
FounEast,Blank,Moss,pre,Pleuro,168,1.12,1.31,1.29,0.17,11.76470588,9765.3,2.707624,,
GibFalls,Blank,Soil,pre,NA,335,1.06,11.12,10.92,9.86,2.028397566,8925.3,2.640424,,
GibFalls,Blank,Litter,pre,NA,167,1.11,2.67,2.65,1.54,1.298701299,6775.2,2.468416,,
FounEast,C,Lichen,wet,peca,461,1.08,1.59,1.31,0.23,121.7391304,21946,2.23498,,
GravPit,C,Soil,wet,NA,424,1.09,10.01,8.8,7.71,15.69390402,21926.6,2.233428,,
GravPit,Blank,Moss,pre,pleuro,306,1.06,1.83,1.84,0.78,-1.282051282,3791.9,2.229752,,
FounEast,Blank,Lichen,pre,peca,183,1.14,1.43,1.43,0.29,0,3082.6,2.173008,,
GravPit,Blank,Soil,pre,NA,157,1.12,9.48,9.52,8.4,-0.476190476,2606,2.13488,,
BiscBas,Blank,Moss,pre,poju,216,1.06,4.15,4.15,3.09,0,2604.3,2.134744,,
BiscBas,Blank,Soil,pre,NA,331,1.03,11.55,11.33,10.3,2.13592233,2437.2,2.121376,,
FounEast,Blank,Soil,pre,NA,132,1.12,7.77,7.31,6.19,7.431340872,2398.4,2.118272,,
BiscBas,Blank,Litter,pre,,290,1.07,1.85,1.86,0.79,-1.265822785,2241.8,2.105744,,
GibFalls,Blank,Litter,pre,NA,167,1.11,2.67,2.65,1.54,1.298701299,2241.8,2.105744,,
Berry,Blank,endo,pre,NA,76,1.11,2.25,1.62,0.51,123.5294118,2145.2,2.098016,,
GibFalls,Blank,Moss,pre,poju,215,1.08,2.6,2.58,1.5,1.333333333,2044.3,2.089944,,
BiscBas,Blank,Wood,pre,NA,273,1.07,3.15,3.17,2.1,-0.952380952,1758.4,2.067072,,
Glade,Blank,rhizo,pre,NA,64,1.11,1.48,1.46,0.35,5.714285714,1487.8,2.045424,,
BiscBas,Blank,Lichen,pre,peca,203,1.09,4.17,4.18,3.09,-0.323624595,1272.7,2.028216,,
FirLopSo,Blank,Soil,pre,NA,111,1.1,12.54,12.44,11.34,0.881834215,19159.4,2.012052,,
FounEast,Blank,Litter,pre,NA,121,1.11,2.55,2.56,1.45,-0.689655172,1045,2.01,,
FounEast,Blank,Litter,pre,NA,149,1.14,2.12,2.1,0.96,2.083333333,1045,2.01,,
GravPit,C,Litter,wet,NA,431,1.09,2.83,2.04,0.95,83.15789474,18207.2,1.935876,,
GibFalls,Blank,Lichen,pre,peca,298,1.03,1.63,1.63,0.6,0,0,1.9264,,
GravPit,Blank,Lichen,pre,peca,148,1.11,2.18,2.17,1.06,0.943396226,0,1.9264,,
GravPit,Blank,Litter,pre,NA,268,1.07,1.93,1.918,0.848,1.41509434,0,1.9264,,
FounEast,Blank,Wood,pre,NA,172,1.12,2.34,2.26,1.14,7.01754386,0,1.9264,,
GibFalls,Blank,Wood,pre,NA,234,1.04,2.97,2.96,1.92,0.520833333,0,1.9264,,2.2679168
GravPit,Blank,Wood,pre,NA,321,1.07,2.24,2.23,1.16,0.862068966,0,1.9264,,
FounEast,C,Soil,wet,NA,241,1.05,7.15,6.15,5.1,19.60784314,9353.3,1.227564,,
FirLopSo,C,Moss,wet,poju,354,1.04,2.23,1.98,0.94,26.59574468,8696.3,1.175004,,
FirLopSo,C,Lichen,wet,peca,365,1.07,2.91,2.34,1.27,44.88188976,8250.1,1.139308,,
FirLopSo,C,Litter,wet,NA,444,1.1,2.72,2.12,1.02,58.82352941,6374.8,0.989284,,
BiscBas,Blank,Litter,wet ,NA,450,1.1,2.32,2.12,1.02,19.60784314,5745,0.9389,,
FounEast,C,Litter,wet,NA,261,1.07,3.95,2.525,1.455,97.93814433,4694.2,0.854836,,
FirLopSo,C,Wood,wet,NA,356,1.07,5.68,3.28,2.21,108.5972851,4665.5,0.85254,,
FirLopSo,Blank,Lichen,pre,clacar,101,1.12,1.82,1.83,0.71,-1.408450704,4603.4,0.847572,,
FirLopSo,C,Soil,wet,NA,430,1.1,19.01,15.85,14.75,21.42372881,4157.6,0.811908,,
FounEast,C,Moss,wet,Pleuro,252,1.05,1.66,1.433,0.383,59.2689295,3036.3,0.722204,,
BiscBas,C,Moss,wet,poju,452,1.11,3.42,3.17,2.06,12.13592233,2874.7,0.709276,,
BiscBas,C,Lichen,wet,peca,416,1.14,3.41,2.9,1.76,28.97727273,2785.7,0.702156,,
GravPit,C,Wood,wet,NA,376,1.1,5.98,3.025,1.925,153.5064935,2756.7,0.699836,,
FirLopSo,Blank,Wood,pre,NA,147,1.12,3.63,3.64,2.52,-0.396825397,2652.9,0.691532,,
FounEast,C,Wood,wet,NA,474,2,6.59,3.4,1.4,227.8571429,1947.9,0.635132,,
GravPit,C,Moss,wet,poju,390,1.1,2.45,1.87,0.77,75.32467532,1882,0.62986,,
BiscBas,C,Soil,wet,NA,435,1.11,9.92,9.38,8.27,6.529625151,1842.5,0.6267,,
