"season","niche","site","sample_n","flux_kgN_ha_season","median_season_flux","mean_moist","sd_moist","sd_kgN_ha_season"
"fall","Lichen","BiscBas",8,0,0,4.8916249999999994,NA,0
"fall","Lichen","FirLopSo",8,0,0,10.015375,NA,0
"fall","Lichen","FounEast",8,0,0,57.393875,NA,0
"fall","Lichen","GibFalls",8,0,0,6.449625,NA,0
"fall","Lichen","GravPit",8,0,0,7.643375,NA,0
"fall","Litter","BiscBas",8,0,0,11.868875,NA,0
"fall","Litter","FirLopSo",8,0,0,9.2425,NA,0
"fall","Litter","FounEast",8,0,0,24.3875,NA,0
"fall","Litter","GibFalls",8,0,0,11.39625,NA,0
"fall","Litter","GravPit",8,0,0,9.20725,NA,0
"fall","Moss","BiscBas",8,7.163739806e-4,0,9.3975,NA,0.0019326341816071327
"fall","Moss","FirLopSo",8,7.521533100000001e-5,0,7.310375,NA,2.12741082397163e-4
"fall","Moss","FounEast",8,1.115391966e-5,0,37.577625,NA,3.15480489135838e-5
"fall","Moss","GibFalls",8,1.5164509e-5,0,11.282875,NA,4.289170858905772e-5
"fall","Moss","GravPit",8,0,0,7.39225,NA,0
"fall","Soil","BiscBas",8,0,0,3.1553750000000003,NA,0
"fall","Soil","FirLopSo",8,0,0,10.847875,NA,0
"fall","Soil","FounEast",8,0,0,15.85225,NA,0
"fall","Soil","GibFalls",8,0,0,4.144125,NA,0
"fall","Soil","GravPit",8,0,0,7.7245,NA,0
"fall","Wood","BiscBas",8,0,0,105.343,NA,0
"fall","Wood","FirLopSo",8,0,0,62.203625,NA,0
"fall","Wood","FounEast",8,0,0,130.737875,NA,0
"fall","Wood","GibFalls",8,0,0,18.642625,NA,0
"fall","Wood","GravPit",8,0,0,35.153,NA,0
"spring","Lichen","BiscBas",4,2.7835107685000003e-4,2.5919645136e-4,140.2125,NA,2.475897850401701e-4
"spring","Lichen","FirLopSo",3,0.3913898723,0.0159383382,64.35333333333334,NA,0.6637648542088994
"spring","Lichen","FounEast",3,9.455641333333332e-5,7.2976056e-5,181.55333333333334,NA,1.0699153383791741e-4
"spring","Lichen","GibFalls",2,0,0,75.745,NA,0
"spring","Lichen","GravPit",3,0.039980799432,0.003857593896000001,89.09,NA,0.06593621870257381
