"site","niche","season","mean_moist","variance_moist","mean_gN_cm2_hr","median_gN_cm2_hr","st_dev_cm2","variance_cm2","mean_rate_gN_g_h","median_rate_gN_g_h","st_dev_g","variance_g","sample_n","mean.cover.percent","total_coverage_cm2","flux_kgN_.25ha_h","median_flux_kgN_.25ha_h","sd_kgN_.25ha_h","var_kgN_.25ha_h","flux_kgN_ha_season","median_flux_kgN_ha_season","sd_kgN_ha_season","var_kgN_ha_season"
"BiscBas","Lichen","summer_wet",20.6182,160.0541007,3.14178e-10,0,7.025233650349289e-10,4.935390784199999e-19,1.267466e-9,0,2.8341401351697484e-9,8.03235030578e-18,5,3.08,770000,2.4191705999999996e-7,0,5.409429910768952e-7,3.8002509038339994e-16,0.0014127956303999997,0,0.003159107067889068,2.2193465278390558e-12
"BiscBas","Lichen","spring",140.2125,2901.738024999999,6.18998125e-11,5.76402e-11,5.5059105372747316e-11,3.0315050844472923e-21,2.91666675e-10,9.799985e-11,4.5541682030299364e-10,2.0740448021488918e-19,4,3.08,770000,4.7662855625e-8,4.4382954e-8,4.239551113701543e-8,2.334258915024415e-18,2.7835107685000003e-4,2.5919645136e-4,2.475897850401701e-4,1.3632072063742585e-14
"BiscBas","Lichen","summer",0.27037500000000003,0.20762798214285716,1.0650125e-11,0,3.012310243193752e-11,9.074013001249999e-22,2.8e-11,0,7.919595949289332e-11,6.2720000000000005e-21,8,3.08,770000,8.200596250000001e-9,0,2.319478887259189e-8,6.986990010962499e-19,4.789148210000001e-5,0,1.3545756701593663e-4,4.0804021664020995e-15
"BiscBas","Lichen","fall",4.8916249999999994,2.0672134107142854,0,0,0,0,0,0,0,0,8,3.08,770000,0,0,0,0,0,0,0,0
"BiscBas","Moss","fall",9.3975,43.79832771428572,1.15723375e-10,0,3.121985948577043e-10,9.7467962631125e-20,1.2133333750000001e-10,0,3.247371575768798e-10,1.0545422151111125e-19,8,4.24,1060000,1.226667775e-7,0,3.3093051054916657e-7,1.0331604038899251e-16,7.163739806e-4,0,0.0019326341816071327,6.033656758717162e-13
"BiscBas","Moss","spring",79.65,1755.4224000000002,1.4672168e-9,6.92246e-10,2.0038894516557546e-9,4.0155729344572e-18,1.7565346000000002e-9,7.28e-10,2.33481287931727e-9,5.451351181425801e-18,5,4.24,1060000,1.5552498080000002e-6,7.337807600000001e-7,2.1241228187551e-6,4.256507310524633e-15,0.009082658878720002,0.004285279638400001,0.012404877261529784,2.4858002693463854e-11
"BiscBas","Moss","summer_wet",21.78075,16.896991583333335,1.45142e-11,0,3.2454737839027444e-11,1.0533100082e-21,1.456e-10,0,2.9526394971279507e-10,8.718079999999999e-20,5,4.24,1060000,1.5385052e-8,0,3.440202210936909e-8,1.1165086086919999e-18,8.984870368e-5,0,2.009078091187155e-4,6.520410274761279e-15
"BiscBas","Moss","summer",0.064375,0.033153125,5.5320849999999996e-11,0,1.382918988535585e-10,1.9124649288522855e-20,1.4583375e-10,0,3.903449002004509e-10,1.523691411125e-19,8,4.24,1060000,5.8640101e-8,0,1.46589412784772e-7,2.0272128245834225e-17,3.4245818983999997e-4,0,8.560821706630685e-4,1.1838922895567187e-13
"FirLopSo","Lichen","summer_wet",48.8136,109.60742479999999,1.7024776e-9,0,3.774267074538949e-9,1.42450919499488e-17,1.5032260000000002e-8,0,3.3519319300039494e-8,1.1235447663380002e-15,5,15,3750000,6.384291e-6,0,1.415350152952106e-5,5.3419094812308e-14,0.03728425944,0,0.082656448932403,3.119675137038787e-10
"FirLopSo","Lichen","summer",0.3205,0.4042777142857143,7.0423655e-9,0,1.7327367982538467e-8,3.0023768120229916e-16,1.89840375e-8,0,4.326919164400389e-8,1.8722229455255357e-15,8,15,3750000,2.6408870625e-5,0,6.497762993451925e-5,1.125891304508622e-12,0.15422780445,0,0.3794693588175924,6.575205218330352e-9
"FirLopSo","Lichen","spring",64.35333333333334,696.2689333333332,1.7871683666666666e-8,7.27778e-10,3.030889745246116e-8,9.186292647838064e-16,1.814089e-8,1.67067e-9,2.996111169727018e-8,8.976682141363e-16,3,15,3750000,6.701881375e-5,2.7291675e-6,1.1365836544672934e-4,3.444859742939274e-12,0.3913898723,0.0159383382,0.6637648542088994,2.011798089876536e-8
"FirLopSo","Lichen","fall",10.015375,127.14562798214284,0,0,0,0,0,0,0,0,8,15,3750000,0,0,0,0,0,0,0,0
"FirLopSo","Moss","fall",7.310375,46.04169483928572,1.4310375e-10,0,4.0475852815289765e-10,1.6382946611250002e-19,1.435e-10,0,4.0587929240107825e-10,1.64738e-19,8,0.36,90000,1.28793375e-8,0,3.6428267533760786e-8,1.4744651950125003e-17,7.521533100000001e-5,0,2.12741082397163e-4,8.610876738873002e-14
