"season","site","mean_rate","median_rate","stdev","variance_g","mean_BD","st_err_g","sample_n","mean_moist","plot_soil_vol","plot_soil_mass_g","flux_kgN_plot_hr","median_flux_kgN_plot_hr","var_kgN_plot_hr","st_dev_kg","st_err_kg","flux_kgN_ha_season","median_flux_kgN_ha_season","var_kgN_ha_season","sd_kgN_ha_season","st_err_kgN_ha_season"
"fall","BiscBas",0,0,0,0,0.9308158484416378,0,8,3.1553750000000003,250000000,232703962.11040944,0,0,0,0,0,0,0,0,0,0
"fall","FirLopSo",0,0,0,0,0.95398757384396,0,8,10.847875,250000000,238496893.46099,0,0,0,0,0,0,0,0,0,0
"fall","FounEast",0,0,0,0,0.5402067630882054,0,8,15.85225,250000000,135051690.77205133,0,0,0,0,0,0,0,0,0,0
"fall","GibFalls",0,0,0,0,1.0369983703401915,0,8,4.144125,250000000,259249592.58504787,0,0,0,0,0,0,0,0,0,0
"fall","GravPit",0,0,0,0,0.8303625993073946,0,8,7.7245,250000000,207590649.82684866,0,0,0,0,0,0,0,0,0,0
"spring","BiscBas",6.533333333333333e-11,6.53333e-11,1.8666650000022318e-11,3.4844382222333322e-22,1.1828614110137843,1.0777195402381415e-11,3,37.916666666666664,250000000,295715352.75344604,1.932006971322514e-5,1.9320059856046716e-5,1.0304018780353202e-16,5.520014989481714e-6,3.1869821401080367e-6,0.11282920712523482,0.11282914955931282,6.017546967726269e-13,0.03223688753857321,0.018611975698230934
"spring","FirLopSo",9.146666e-11,9.33333e-11,3.5170716544847364e-11,1.2369793022780001e-21,0.9521287431248727,1.5728822602331046e-11,5,42.408,250000000,238032185.78121817,2.177200900590752e-5,2.2216329405174167e-5,2.9444088708735854e-16,8.371762534661672e-6,3.743966023797887e-6,0.1271485325944999,0.12974336372621714,1.7195347805901738e-12,0.048891093202424164,0.02186476157897966
"spring","FounEast",9.644433333333333e-11,8.4e-11,2.1554217599656307e-11,4.645842963333337e-22,1.2117199701229036,1.244433333333334e-11,3,36.03,250000000,302929992.5307259,2.9215881176297505e-5,2.5446119372580973e-5,1.4073651741814933e-16,6.5294189764695255e-6,3.769761803716532e-6,0.17062074606957742,0.14860533713587287,8.219012617219921e-13,0.03813180682258203,0.022015408933704548
"spring","GibFalls",1.8044433333333333e-10,2.24e-10,1.3600204519172987e-10,1.8496556296333334e-20,0.8871460582603383,7.852081740178489e-11,3,22.12666666666667,250000000,221786514.56508458,4.002011976302031e-5,4.968017926257894e-5,4.10228675242064e-15,3.016341957679689e-5,1.741485841234331e-5,0.2337174994160386,0.290132246893461,2.3957354634136537e-11,0.17615437032849382,0.10170277312808493
"spring","GravPit",6.222223333333332e-11,7.46667e-11,3.000247594721697e-11,9.001485629633332e-22,1.2772458749236097,1.7321937564480996e-11,3,31.076666666666668,250000000,319311468.73090243,1.9868272713383577e-5,2.384193364228967e-5,2.8742775971583315e-16,9.580134660269424e-6,5.531093324979418e-6,0.11603071264616009,0.13923689247097168,1.6785781167404655e-12,0.055947986415973434,0.032301585017879796
"summer","BiscBas",0,0,0,0,0.8727410295957863,0,7,2.1735714285714285,250000000,218185257.39894655,0,0,0,0,0,0,0,0,0,0
"summer","FirLopSo",0,0,0,0,1.043873497657364,0,8,1.5925,250000000,260968374.414341,0,0,0,0,0,0,0,0,0,0
"summer","FounEast",0,0,0,0,0.6565746587899777,0,8,9.49125,250000000,164143664.69749442,0,0,0,0,0,0,0,0,0,0
"summer","GibFalls",0,0,0,0,0.8606640863719699,0,8,1.59125,250000000,215166021.59299248,0,0,0,0,0,0,0,0,0,0
"summer","GravPit",0,0,0,0,0.7330922794866572,0,8,2.386875,250000000,183273069.87166432,0,0,0,0,0,0,0,0,0,0
"summer_wet","BiscBas",0,0,0,0,0.9720920757791811,0,5,9.5054,250000000,243023018.94479528,0,0,0,0,0,0,0,0,0,0
"summer_wet","FirLopSo",0,0,0,0,1.1110205744550825,0,5,17.1974,250000000,277755143.6137706,0,0,0,0,0,0,0,0,0,0
"summer_wet","FounEast",8.21334e-11,0,1.242420902021533e-10,1.54360969778e-20,0.8219596659197393,5.556275187173507e-11,5,32.74,250000000,205489916.47993484,1.687758550621308e-5,0,3.1719622787442967e-15,2.5530496738933015e-5,1.1417585241518183e-5,0.0985650993562844,0,1.8524259707866692e-11,0.1490981009553688,0.06667869781046619
"summer_wet","GibFalls",0,0,0,0,0.8011815033611734,0,5,13.134799999999998,250000000,200295375.84029335,0,0,0,0,0,0,0,0,0,0
"summer_wet","GravPit",0,0,0,0,1.1317987370136484,0,5,21.27,250000000,282949684.2534121,0,0,0,0,0,0,0,0,0,0
