Site,Species,Species.Name,Functional.Group,mean.cover
84blowdn,LITTER (NO CHAR),Litter (No Char),Litter (No Char),61.76
84blowdn,WOOD,Wood,Wood,14.76
84blowdn,poju,Polytrichum juniperinum,Moss,11.12
84blowdn,BARE SOIL,Bare Soil,Soil,8.72
84blowdn,LUAR,Lupinus argenteus,Forb,8.24
84blowdn,CEPU,Ceratodon purpureus,Moss,2.16
84blowdn,clafri,Cladonia fimbriata,Lichen,1.6
84blowdn,CAGE,Carex geyerii,Graminoid,1.2
84blowdn,ROCK,Rock,Rock,0.68
84blowdn,CARO,Carex rossii,Graminoid,0.24
84blowdn,FRVI,Frageria virginiana,Forb,0.12
84blowdn,ANMI,Antennaria microphylla,Forb,0.04
84blowdn,peca,Peltigera canadensis,Lichen,0.04
BiscBas,LITTER (NO CHAR),Litter (No Char),Litter (No Char),75.4
BiscBas,poju,Polytrichum juniperinum,Moss,4.24
BiscBas,BARE SOIL,Bare Soil,Soil,1.88
BiscBas,clacar,Cladonia cariosa ,Lichen,1.6
BiscBas,clafri,Cladonia fimbriata,Lichen,1.2
BiscBas,CAGE,Carex geyerii,Graminoid,0.48
BiscBas,peca,Peltigera canadensis,Lichen,0.28
CascCk,LITTER (NO CHAR),Litter (No Char),Litter (No Char),44.72
CascCk,BARE SOIL,Bare Soil,Soil,21.64
CascCk,WOOD,Wood,Wood,16.12
CascCk,poju,Polytrichum juniperinum,Moss,9.92
CascCk,CAGE,Carex geyerii,Graminoid,4.16
CascCk,CARO,Carex rossii,Graminoid,3.28
CascCk,ROCK,Rock,Rock,2.96
CascCk,clafri,Cladonia fimbriata,Lichen,2.04
CascCk,EUME,Eurybia merita,Forb,1.8
CascCk,ARCO,Arnica cordifolia,Forb,1.44
CascCk,LUAR,Lupinus argenteus,Forb,1.44
CascCk,clacar,Cladonia cariosa ,Lichen,0.92
CascCk,CHAN,Chamerion angustifolium ,Forb,0.76
CascCk,SOMU,Solidago multiradiata,Forb,0.68
CascCk,ANMI,Antennaria microphylla,Forb,0.52
CascCk,peca,Peltigera canadensis,Lichen,0.52
CascCk,FRVI,Frageria virginiana,Forb,0.36
CascCk,ANRO,Antennaria rosea,Forb,0.08
CascCk,HIAL,Hieracium albiforum ,Forb,0.04
CascCk,TAOF,Taraxacum officinale,Forb,0.04
CascMeaN,LITTER (NO CHAR),Litter (No Char),Litter (No Char),38.2
CascMeaN,BARE SOIL,Bare Soil,Soil,26.16
CascMeaN,WOOD,Wood,Wood,25.4
