round,niche,temp,moist_level,sample_no,dry_mass,actual_moist_perc,flux_nmol_C2H4_g_hr,flux_gN_g_h
1,Lichen,5,25,1,1.6,101.25,-0.104,-4.84841E-10
1,Lichen,5,25,2,2.9,47.93,-0.037,-1.74154E-10
1,Lichen,5,25,3,2.6,29.62,-0.069,-3.24429E-10
1,Lichen,5,25,4,1.82,76.37,-0.102,-4.78116E-10
1,Lichen,5,25,5,2.36,38.14,-0.079,-3.66964E-10
1,Lichen,5,50,1,0.25,152.00,-0.550,-2.56568E-09
1,Lichen,5,50,2,1.58,129.11,-0.152,-7.10266E-10
1,Lichen,5,50,3,4.59,42.27,-0.036,-1.70193E-10
1,Lichen,5,50,4,2.43,99.18,-0.076,-3.54279E-10
1,Lichen,5,50,5,6.79,26.36,-0.024,-1.13711E-10
1,Lichen,5,100,1,4.93,38.13,-0.050,-2.33963E-10
1,Lichen,5,100,2,1.25,101.60,-0.185,-8.64755E-10
1,Lichen,5,100,3,2.74,17.15,-0.083,-3.8612E-10
1,Lichen,5,100,4,3.45,55.94,-0.074,-3.46846E-10
1,Lichen,5,100,5,0.23,226.09,3.088,1.44187E-08
1,Lichen,5,150,1,0.95,190.53,3.059,1.42828E-08
1,Lichen,5,150,2,2.52,99.21,-0.039,-1.8147E-10
1,Lichen,5,150,3,4.15,39.04,-0.051,-2.37267E-10
1,Lichen,5,150,4,2.77,107.58,-0.067,-3.12995E-10
1,Lichen,5,150,5,3.27,52.91,-0.042,-1.9701E-10
1,Litter,5,25,1,1.72,15.70,-0.133,-6.23242E-10
1,Litter,5,25,2,1.32,46.21,-0.209,-9.75416E-10
1,Litter,5,25,3,2.03,69.95,-0.128,-5.9948E-10
1,Litter,5,25,4,1.68,187.50,-0.045,-2.08577E-10
1,Litter,5,25,5,1.43,30.77,-0.176,-8.22223E-10
1,Litter,5,50,1,2.57,59.53,-0.107,-5.01616E-10
1,Litter,5,50,2,2.19,31.96,-0.130,-6.06661E-10
1,Litter,5,50,3,1.47,40.14,-0.179,-8.37194E-10
1,Litter,5,50,4,2.4,52.08,-0.119,-5.53578E-10
1,Litter,5,50,5,1.26,29.37,-0.217,-1.01131E-09
1,Litter,5,100,1,2.29,53.71,-0.085,-3.98908E-10
1,Litter,5,100,2,2.02,95.54,-0.090,-4.1836E-10
1,Litter,5,100,3,1.42,50.70,-0.140,-6.53301E-10
1,Litter,5,100,4,1.6,63.13,-0.159,-7.40645E-10
1,Litter,5,100,5,2.07,46.86,-0.106,-4.95632E-10
1,Litter,5,150,1,1.72,54.07,-0.111,-5.16948E-10
1,Litter,5,150,2,1.98,46.46,-0.130,-6.05357E-10
1,Litter,5,150,3,2.1,128.57,-0.088,-4.11062E-10
1,Litter,5,150,4,1.3,49.23,-0.199,-9.28314E-10
1,Litter,5,150,5,2.07,64.73,-0.099,-4.6023E-10
1,Moss,5,25,1,1.51,145.70,-0.140,-6.52891E-10
1,Moss,5,25,2,3.6,25.56,-0.051,-2.3803E-10
1,Moss,5,25,3,2.41,41.91,-0.085,-3.96752E-10
1,Moss,5,25,4,5.74,25.61,-0.020,-9.37082E-11
1,Moss,5,25,5,0.175,-2.86,-1.327,-6.19346E-09
1,Moss,5,50,1,2.93,31.40,-0.054,-2.53782E-10
1,Moss,5,50,2,4.48,27.46,-0.043,-2.01728E-10
1,Moss,5,50,3,3.95,35.44,-0.049,-2.27534E-10
1,Moss,5,50,4,3.87,45.48,-0.038,-1.75189E-10
1,Moss,5,50,5,2.16,79.63,-0.124,-5.80743E-10
1,Moss,5,100,1,4.3,44.42,-0.112,-5.23365E-10
1,Moss,5,100,2,5.8,36.03,-0.106,-4.93152E-10
1,Moss,5,100,3,0.59,186.44,-1.089,-5.08614E-09
1,Moss,5,100,4,4.45,41.12,-0.115,-5.39239E-10
1,Moss,5,100,5,3.57,39.50,-0.174,-8.12546E-10
1,Moss,5,150,1,1.97,79.70,-0.132,-6.16039E-10
1,Moss,5,150,2,0.61,159.02,-0.299,-1.3958E-09
1,Moss,5,150,3,7.63,54.78,-0.021,-9.99991E-11
1,Moss,5,150,4,1.24,64.52,-0.082,-3.81097E-10
1,Moss,5,150,5,2.4,65.00,-0.070,-3.25696E-10
1,Soil,5,25,1,5.289,45.59,-0.038,-1.76694E-10
1,Soil,5,25,2,11.969,26.83,-0.022,-1.03627E-10
1,Soil,5,25,3,9.331,21.74,-0.028,-1.32924E-10
1,Soil,5,25,4,9.63,26.90,-0.028,-1.28797E-10
1,Soil,5,25,5,10.987,30.97,-0.024,-1.12889E-10
1,Soil,5,50,1,13.559,23.98,-0.020,-9.14751E-11
1,Soil,5,50,2,7.898,38.90,-0.034,-1.57041E-10
