,niche,sample_no,temp_C,moist,ppm,ppm_corrected,drymass,actual_moist,incubation_time,notes
15,Litter,1,5,25,2.32206,-1.89922425,1.52,47.36842105,24,Litter start drying @ 9:45am 8/16
31,Litter,2,5,25,2.533506,-1.68777825,1.71,57.89473684,24,NA
47,Litter,3,5,25,2.172525,-2.04875925,1.52,50.65789474,24,NA
63,Litter,4,5,25,2.819832,-1.40145225,1.54,47.4025974,24,NA
79,Litter,5,5,25,2.274162,-1.94712225,1.47,44.89795918,24,NA
95,Litter,6,5,25,2.113251,-2.10803325,1.52,57.89473684,24,NA
111,Litter,7,5,25,3.705378,-0.51590625,1.08,50,24,NA
127,Litter,8,5,25,2.231574,-1.98971025,1.28,56.25,24,NA
143,Litter,9,5,25,2.567031,-1.65425325,1.48,52.7027027,24,NA
16,Litter,1,5,50,2.273442,-1.94784225,1.52,72.36842105,24,NA
32,Litter,2,5,50,1.8582,-2.36308425,1.71,63.74269006,24,NA
48,Litter,3,5,50,1.995639,-2.22564525,1.53,71.24183007,24,NA
64,Litter,4,5,50,2.07033,-2.15095425,1.47,74.82993197,24,NA
80,Litter,5,5,50,2.544765,-1.67651925,1.47,73.46938776,24,NA
96,Litter,6,5,50,2.345271,-1.87601325,1.47,76.8707483,24,NA
112,Litter,7,5,50,2.69322,-1.52806425,1.52,69.73684211,24,NA
128,Litter,8,5,50,2.305851,-1.91543325,1.29,88.37209302,24,NA
144,Litter,9,5,50,2.340384,-1.88090025,1.38,88.4057971,24,NA
13,Litter,1,5,100,2.505336,-1.71594825,1.59,132.7044025,24,NA
29,Litter,2,5,100,2.312961,-1.90832325,1.07,142.9906542,24,NA
45,Litter,3,5,100,2.428593,-1.79269125,1.44,144.4444444,24,NA
61,Litter,4,5,100,2.155686,-2.06559825,1.6,127.5,24,NA
77,Litter,5,5,100,2.135247,-2.08603725,1.51,142.384106,24,NA
93,Litter,6,5,100,3.260724,-0.96056025,1.47,143.537415,24,NA
109,Litter,7,5,100,2.750217,-1.47106725,1.5,142.6666667,24,NA
125,Litter,8,5,100,2.414607,-1.80667725,1.56,126.2820513,24,NA
141,Litter,9,5,100,2.218911,-2.00237325,1.37,118.9781022,24,NA
14,Litter,1,5,150,2.469741,-1.75154325,1.48,192.5675676,24,NA
30,Litter,2,5,150,2.502195,-1.71908925,1.5,194.6666667,24,NA
