season,sample_name,niche,sample_ID,species,tin_no,tin_mass,tin_wet,tin_dry,dry_mass,moist,peak_area,ppm,Bag_ID,incubation_time,avg_blank,bag_blank_avg,ppm_corrected
fall,GravPit,Moss,2,poju,1,1.02,3.25,3.25,2.23,0,11255.9,3.153572,B,19.25,2.4264376,2.985204,-2.2580696
fall,GravPit,Moss,3,poju,2,1,4.09,4.09,3.09,0,16164.6,3.546268,B,19.25,2.4264376,2.985204,-1.8653736
fall,GravPit,Moss,4,poju,3,1.07,4.24,3.8,2.73,16.11721612,34569.5,5.01866,B,19.25,2.4264376,2.985204,-0.3929816
fall,GravPit,Moss,1,poju,4,1.07,3.41,2.81,1.74,34.48275862,7416.8,2.846444,B,19.25,2.4264376,2.985204,-2.5651976
fall,GravPit,Litter,7,NA,6,1.04,1.96,1.88,0.84,9.523809524,5095.8,2.660764,B,19.25,2.3336248,2.985204,-2.6580648
fall,GravPit,Litter,8,NA,7,1.09,2.19,2.11,1.02,7.843137255,2048.5,2.41698,B,19.25,2.3336248,2.985204,-2.9018488
fall,GravPit,Litter,5,NA,8,1.09,2.29,2.17,1.08,11.11111111,7879.2,2.883436,B,19.25,2.3336248,2.985204,-2.4353928
fall,GravPit,Litter,6,NA,9,1.09,2.02,1.94,0.85,9.411764706,5445.2,2.688716,B,19.25,2.3336248,2.985204,-2.6301128
fall,GravPit,Litter,2,NA,10,1.09,2.39,2.27,1.18,10.16949153,1568.5,2.37858,B,19.25,2.3336248,2.985204,-2.9402488
fall,GravPit,Litter,3,NA,11,1.07,2.02,1.96,0.89,6.741573034,14713.8,3.430204,B,19.25,2.3336248,2.985204,-1.8886248
fall,GravPit,Litter,4,NA,12,1.08,1.99,1.94,0.86,5.813953488,12410.2,3.245916,B,19.25,2.3336248,2.985204,-2.0729128
fall,GravPit,Litter,1,NA,13,1.09,2.13,2.01,0.92,13.04347826,10401.8,3.085244,B,19.25,2.3336248,2.985204,-2.2335848
fall,GravPit,Soil,7,NA,14,1.09,9.19,8.29,7.2,12.5,8769.3,2.954644,B,19.25,2.8059192,2.985204,-2.8364792
fall,GravPit,Soil,5,NA,16,1.09,7.46,7.18,6.09,4.597701149,7149.3,2.825044,B,19.25,2.8059192,2.985204,-2.9660792
fall,GravPit,Soil,4,NA,17,1.09,11.13,10.66,9.57,4.911180773,6062.3,2.738084,B,19.25,2.8059192,2.985204,-3.0530392
fall,GravPit,Soil,8,NA,18,1.07,14.3,13.95,12.88,2.717391304,3185.6,2.507948,B,19.25,2.8059192,2.985204,-3.2831752
fall,GravPit,Soil,6,NA,19,1.11,3.82,3.34,2.23,21.52466368,5082.9,2.659732,B,19.25,2.8059192,2.985204,-3.1313912
fall,GravPit,Soil,3,NA,20,1.09,5.88,5.63,4.54,5.50660793,7489.3,2.852244,B,19.25,2.8059192,2.985204,-2.9388792
fall,GravPit,Soil,2,NA,21,1.11,13.62,13.35,12.24,2.205882353,14647.3,3.424884,B,19.25,2.8059192,2.985204,-2.3662392
fall,GravPit,Soil,1,NA,22,1.11,12.4,11.58,10.47,7.831900669,7681.6,2.867628,B,19.25,2.8059192,2.985204,-2.9234952
fall,GravPit,Moss,7,poju,23,1.08,5.34,5.19,4.11,3.649635036,15516.8,3.494444,B,19.25,2.4264376,2.985204,-1.9171976
fall,GravPit,Moss,6,poju,24,1.09,7.61,7.57,6.48,0.617283951,15574.3,3.499044,B,19.25,2.4264376,2.985204,-1.9125976
fall,GravPit,Moss,5,poju,25,1.11,3.38,3.32,2.21,2.714932127,18411.9,3.726052,B,19.25,2.4264376,2.985204,-1.6855896
