Sample_ID,sample,moisture ,temp,1.5s peak area,known,ppm calc,
2022_06_20_REH_climexp_001,5 ppm,,,47274.1,5,,
2022_06_20_REH_climexp_002,5 ppm,,,43335.4,5,,
2022_06_20_REH_climexp_003,5 ppm,,,44906.8,5,,
2022_06_20_REH_climexp_004,10 ppm,,,107472.9,10,,
2022_06_20_REH_climexp_005,10 ppm,,,105353.7,10,,
2022_06_20_REH_climexp_006,10 ppm,,,103995.9,10,,
2022_06_20_REH_climexp_007,25 ppm,,,266463.1,25,,
2022_06_20_REH_climexp_008,25 ppm,,,280321.3,25,,
2022_06_20_REH_climexp_009,25 ppm,,,278656.9,25,,
2022_06_20_REH_climexp_010,100 ppm,,,1165066.6,100,,
2022_06_20_REH_climexp_011,100 ppm,,,1187962.8,100,,
2022_06_20_REH_climexp_012,100 ppm,,,1160551,100,,
2022_06_20_REH_climexp_013,Soil 24,50,35,7089.6,,1.910368,
2022_06_20_REH_climexp_014,Soil 19,100,35,15208,,2.55984,
2022_06_20_REH_climexp_015,Soil 20,100,35,34946.5,,4.13892,
2022_06_20_REH_climexp_016,Soil 21,100,35,9254.6,,2.083568,
2022_06_20_REH_climexp_017,Soil 22,100,35,32296.3,,3.926904,
2022_06_20_REH_climexp_018,Soil 23,100,35,10562.9,,2.188232,
2022_06_20_REH_climexp_019,Soil 24,100,35,1382.7,,1.453816,
2022_06_20_REH_climexp_020,Soil 19,150,35,2086.5,,1.51012,
2022_06_20_REH_climexp_021,Soil 20,150,35,26853.2,,3.491456,
2022_06_20_REH_climexp_022,Soil 21,150,35,7971.4,,1.980912,
2022_06_20_REH_climexp_023,Soil 22,150,35,21977.9,,3.101432,
2022_06_20_REH_climexp_024,Soil 23,150,35,29268.6,,3.684688,
2022_06_20_REH_climexp_025,Soil 24,150,35,1045.9,,1.426872,
2022_06_20_REH_climexp_026,100 ppm,,,1209764.2,100,98.124336,
2022_06_20_REH_climexp_027,100 ppm,,,1175636.3,100,95.394104,
2022_06_20_REH_climexp_028,100 ppm,,,1226142.9,100,99.434632,
2022_06_20_REH_climexp_029,Lichen 13,25,25,2779407,,223.69576,
2022_06_20_REH_climexp_030,Lichen 14,25,25,21414573.9,,1714.509112,
2022_06_20_REH_climexp_031,Lichen 15,25,25,232377.3,,19.933384,
