,plot,niche,quad,peak_area,ppm,blank_corr,dry_mass,moist,hrs of incubation
1,BiscBas,Lichen,SE,21739.3,3.519344,0.752444,0.67,210.45,23.5
2,BiscBas,Lichen,SW,12344.2,2.767736,0.000836,3.74,100,23.5
3,BiscBas,Lichen,NW,17316.6,3.165528,0.398628,2.85,154.39,23.5
4,BiscBas,Lichen,NE,15554.4,3.024552,0.257652,3.01,96.01,23.5
5,BiscBas,Litter,NW,6618.7,2.309696,-0.505660667,1.78,89.33,15.75
6,BiscBas,Litter,NE,17631.6,3.190728,0.375371333,1.45,166.9,15.75
7,BiscBas,Litter,Blank,8751.8,2.480344,-0.335012667,2.12,65.09,15.75
8,BiscBas,Litter,SW,11962.5,2.7372,-0.078156667,1.55,258.71,23.5
9,BiscBas,Litter,SE,3007.8,2.020824,-0.794532667,1.59,264.78,23.5
10,BiscBas,Moss,NE,363796.4,30.883912,27.987116,4.29,72.03,23.5
11,BiscBas,Moss,SE,63218.5,6.83768,3.940884,4.69,44.56,23.5
12,BiscBas,Moss,SW,117100.8,11.148264,8.251468,3.15,125.4,23.5
13,BiscBas,Moss,NW,7160.6,2.353048,-0.543748,2.36,120.76,23.5
14,BiscBas,Moss,Blank,33759.4,4.480952,1.584156,7.83,35.5,23.5
15,BiscBas,Soil,SW,16450.7,3.096256,1.121129333,0.61,729.51,23.5
16,BiscBas,Soil,NW,15301.4,3.004312,1.029185333,14.09,34.07,23.5
17,BiscBas,Soil,SE,30981.2,4.258696,2.283569333,0.88,727.27,23.5
18,BiscBas,Soil,NE,11863.8,2.729304,0.754177333,13.11,35.85,23.5
19,BiscBas,Soil,Blank,11863.8,2.729304,0.754177333,7.64,43.83,23.5
20,BiscBas,Wood,NW,2445,1.9758,-0.612041333,3.12,179.49,15.75
21,BiscBas,Wood,SW,2096.2,1.947896,-0.639945333,3.02,192.38,23.5
22,BiscBas,Wood,SE,26097,3.86796,1.280118667,2.21,398.19,23.5
23,BiscBas,Wood,NE,14139.1,2.911328,0.323486667,2.47,232.79,23.5
24,BiscBas,Wood,Blank,5611,2.22908,-0.358761333,3.06,159.8,23.5
25,FirLopSo,Lichen,NE,3774420,303.7338,300.9669,4.92,70.12,23.5
26,FirLopSo,Lichen,SE,64123.3,6.910064,4.143164,2.14,87.38,23.5
27,FirLopSo,Lichen,SW,13776.4,2.882312,0.115412,3.29,35.56,23.5
28,FirLopSo,Litter,SW,6501.5,2.30032,-0.515036667,0.85,29.41,23.5
29,FirLopSo,Litter,NE,8360.4,2.449032,-0.366324667,1.11,21.62,15.75
30,FirLopSo,Litter,SE,11537.3,2.703184,-0.112172667,1.02,41.18,23.5
31,FirLopSo,Litter,Blank,11796,2.72388,-0.091476667,1.41,57.45,23.5
32,FirLopSo,Litter,NW,13396.7,2.851936,0.036579333,1.28,19.53,23.5
33,FirLopSo,Moss,Blank,22940.3,3.615424,0.718628,6.4,45.47,15.75
34,FirLopSo,Moss,NW,23381.3,3.650704,0.753908,1.57,133.12,23.5
35,FirLopSo,Moss,NE,71293,7.48364,4.586844,2.5,40.4,23.5
36,FirLopSo,Moss,SE,42620.9,5.189872,2.293076,3.42,28.07,23.5
37,FirLopSo,Moss,SW,31656.4,4.312712,1.415916,3.07,26.71,23.5
38,FirLopSo,Soil,Blank,9021.8,2.501944,0.526817333,12.26,39.9,15.75
39,FirLopSo,Soil,NW,16143,3.07164,1.096513333,11.15,43.83,15.75
40,FirLopSo,Soil,SW,8892.1,2.491568,0.516441333,7.75,42.88,23.5
