sample_id,plot,niche,quad,peak_area,ppm,blank_corr
2022_06_07_REH_Nfix_spring_173,BiscBas,Lichen,SE,21739.3,3.519344,0.752444
2022_06_07_REH_Nfix_spring_174,BiscBas,Lichen,SW,12344.2,2.767736,0.000836
2022_06_07_REH_Nfix_spring_175,BiscBas,Lichen,NW,17316.6,3.165528,0.398628
2022_06_07_REH_Nfix_spring_176,BiscBas,Lichen,Blank,18584.4,3.266952,0.500052
2022_06_07_REH_Nfix_spring_179,BiscBas,Lichen,NE,15554.4,3.024552,0.257652
2022_06_07_REH_Nfix_spring_177,FirLopSo,Lichen,NE,3774420,303.7338,300.9669
2022_06_07_REH_Nfix_spring_178,FirLopSo,Lichen,SE,64123.3,6.910064,4.143164
2022_06_07_REH_Nfix_spring_180,FirLopSo,Lichen,SW,13776.4,2.882312,0.115412
2022_06_07_REH_Nfix_spring_099,FounEast,Lichen,SW,19673.6,3.735588,0.968688
2022_06_07_REH_Nfix_spring_101,FounEast,Lichen,NE,42524.3,5.563644,2.796744
2022_06_07_REH_Nfix_spring_104,FounEast,Lichen,NW,1878.8,2.312004,-0.454896
2022_06_07_REH_Nfix_spring_139,GibFalls,Lichen,NE,8155.3,2.432624,-0.334276
2022_06_07_REH_Nfix_spring_142,GibFalls,Lichen,NW,11315,2.6854,-0.0815
2022_06_07_REH_Nfix_spring_127,GravPit,Lichen,NE,725721.5,59.83792,57.07102
2022_06_07_REH_Nfix_spring_128,GravPit,Lichen,NW,36040.1,4.663408,1.896508
2022_06_07_REH_Nfix_spring_137,GravPit,Lichen,SW,5537.1,2.223168,-0.543732
2022_06_07_REH_Nfix_spring_122,BiscBas,Litter,NW,6618.7,2.309696,-0.505660667
2022_06_07_REH_Nfix_spring_123,BiscBas,Litter,NE,17631.6,3.190728,0.375371333
2022_06_07_REH_Nfix_spring_124,BiscBas,Litter,Blank,8751.8,2.480344,-0.335012667
2022_06_07_REH_Nfix_spring_184,BiscBas,Litter,SW,11962.5,2.7372,-0.078156667
2022_06_07_REH_Nfix_spring_185,BiscBas,Litter,SE,3007.8,2.020824,-0.794532667
2022_06_07_REH_Nfix_spring_118,FirLopSo,Litter,SW,6501.5,2.30032,-0.515036667
2022_06_07_REH_Nfix_spring_120,FirLopSo,Litter,NE,8360.4,2.449032,-0.366324667
2022_06_07_REH_Nfix_spring_181,FirLopSo,Litter,SE,11537.3,2.703184,-0.112172667
2022_06_07_REH_Nfix_spring_182,FirLopSo,Litter,Blank,11796,2.72388,-0.091476667
2022_06_07_REH_Nfix_spring_183,FirLopSo,Litter,NW,13396.7,2.851936,0.036579333
2022_06_07_REH_Nfix_spring_100,FounEast,Litter,NW,11541.8,3.085044,0.269687333
2022_06_07_REH_Nfix_spring_102,FounEast,Litter,NE,15172.7,3.375516,0.560159333
2022_06_07_REH_Nfix_spring_103,FounEast,Litter,SW,17652.9,3.573932,0.758575333
2022_06_07_REH_Nfix_spring_140,GibFalls,Litter,NW,13305.2,2.844616,0.029259333
2022_06_07_REH_Nfix_spring_141,GibFalls,Litter,SW,12077,2.74636,-0.068996667
2022_06_07_REH_Nfix_spring_126,GravPit,Litter,NE,18500.4,3.260232,0.444875333
2022_06_07_REH_Nfix_spring_134,GravPit,Litter,NW,16353.5,3.08848,0.273123333
2022_06_07_REH_Nfix_spring_138,GravPit,Litter,SW,9814,2.56532,-0.250036667
2022_06_07_REH_Nfix_spring_150,BiscBas,Moss,NE,363796.4,30.883912,27.987116
2022_06_07_REH_Nfix_spring_151,BiscBas,Moss,SE,63218.5,6.83768,3.940884
2022_06_07_REH_Nfix_spring_152,BiscBas,Moss,SW,117100.8,11.148264,8.251468
2022_06_07_REH_Nfix_spring_153,BiscBas,Moss,NW,7160.6,2.353048,-0.543748
2022_06_07_REH_Nfix_spring_154,BiscBas,Moss,Blank,33759.4,4.480952,1.584156
2022_06_02_REH_Nfix_spring_030,FirLopSo,Moss,Blank,22940.3,3.615424,0.718628
2022_06_07_REH_Nfix_spring_155,FirLopSo,Moss,NW,23381.3,3.650704,0.753908
2022_06_07_REH_Nfix_spring_156,FirLopSo,Moss,NE,71293,7.48364,4.586844
2022_06_07_REH_Nfix_spring_157,FirLopSo,Moss,SE,42620.9,5.189872,2.293076
2022_06_07_REH_Nfix_spring_158,FirLopSo,Moss,SW,31656.4,4.312712,1.415916
2022_06_07_REH_Nfix_spring_094,FounEast,Moss,SW,18320,3.6273,0.730504
2022_06_07_REH_Nfix_spring_095,FounEast,Moss,NW,3445.3,2.437324,-0.459472
2022_06_07_REH_Nfix_spring_098,FounEast,Moss,NE,102531.6,10.364228,7.467432
2022_06_07_REH_Nfix_spring_143,GibFalls,Moss,SW,2041673.3,165.114064,162.217268
2022_06_07_REH_Nfix_spring_146,GibFalls,Moss,NW,1702.8,1.916424,-0.980372
2022_06_07_REH_Nfix_spring_147,GibFalls,Moss,NE,154954.4,14.176552,11.279756
2022_06_07_REH_Nfix_spring_132,GravPit,Moss,NW,628119.7,52.029776,49.13298
2022_06_07_REH_Nfix_spring_133,GravPit,Moss,SW,980189.1,80.195328,77.298532
2022_06_07_REH_Nfix_spring_136,GravPit,Moss,NE,21385.1,3.491008,0.594212
2022_06_07_REH_Nfix_spring_162,BiscBas,Soil,SW,16450.7,3.096256,1.121129333
2022_06_07_REH_Nfix_spring_163,BiscBas,Soil,NW,15301.4,3.004312,1.029185333
2022_06_07_REH_Nfix_spring_164,BiscBas,Soil,SE,30981.2,4.258696,2.283569333
2022_06_07_REH_Nfix_spring_165,BiscBas,Soil,NE,11863.8,2.729304,0.754177333
