plot,niche,quad,peak_area,ppm,blank_corr,dry_mass,moist,sample_area (cm2),nmol_c2h4_g_hr,mol_N_g_hr,g_N_g_hr
BiscBas,Lichen,SE,21739.3,3.519344,0.752444,0.67,210.45,2.5,29.0060828,9.66869E-09,1.35426E-07
BiscBas,Lichen,SW,12344.2,2.767736,0.000836,3.74,100,2.5,2.469126569,8.23042E-10,1.15281E-08
BiscBas,Lichen,NW,17316.6,3.165528,0.398628,2.85,154.39,2.5,5.002524936,1.66751E-09,2.33563E-08
BiscBas,Lichen,NE,15554.4,3.024552,0.257652,3.01,96.01,2.5,2.945540029,9.81847E-10,1.37524E-08
BiscBas,Litter,NW,6618.7,2.309696,-0.505660667,1.78,89.33,2.5,6.914799482,2.30493E-09,3.22845E-08
BiscBas,Litter,NE,17631.6,3.190728,0.375371333,1.45,166.9,2.5,15.85954025,5.28651E-09,7.40466E-08
BiscBas,Litter,Blank,8751.8,2.480344,-0.335012667,2.12,65.09,2.5,4.23039256,1.41013E-09,1.97513E-08
BiscBas,Litter,SW,11962.5,2.7372,-0.078156667,1.55,258.71,2.5,15.41332986,5.13778E-09,7.19633E-08
BiscBas,Litter,SE,3007.8,2.020824,-0.794532667,1.59,264.78,2.5,15.37811161,5.12604E-09,7.17989E-08
BiscBas,Moss,NE,363796.4,30.883912,27.987116,4.29,72.03,2.5,1.550497526,5.16833E-10,7.23912E-09
BiscBas,Moss,SE,63218.5,6.83768,3.940884,4.69,44.56,2.5,0.877379119,2.9246E-10,4.0964E-09
BiscBas,Moss,SW,117100.8,11.148264,8.251468,3.15,125.4,2.5,3.67622376,1.22541E-09,1.71639E-08
BiscBas,Moss,NW,7160.6,2.353048,-0.543748,2.36,120.76,2.5,4.725263769,1.57509E-09,2.20618E-08
BiscBas,Moss,Blank,33759.4,4.480952,1.584156,7.83,35.5,2.5,0.418679355,1.3956E-10,1.95477E-09
BiscBas,Soil,SW,16450.7,3.096256,1.121129333,0.61,729.51,2.5,110.4374498,3.68125E-08,5.15621E-07
BiscBas,Soil,NW,15301.4,3.004312,1.029185333,14.09,34.07,2.5,0.223293507,7.44312E-11,1.04254E-09
BiscBas,Soil,SE,30981.2,4.258696,2.283569333,0.88,727.27,2.5,76.3181714,2.54394E-08,3.56322E-07
BiscBas,Soil,NE,11863.8,2.729304,0.754177333,13.11,35.85,2.5,0.252523281,8.41744E-11,1.17901E-09
BiscBas,Soil,Blank,11863.8,2.729304,0.754177333,7.64,43.83,2.5,0.52977696,1.76592E-10,2.47348E-09
BiscBas,Wood,NW,2445,1.9758,-0.612041333,3.12,179.49,2.5,7.926617881,2.64221E-09,3.70086E-08
BiscBas,Wood,SW,2096.2,1.947896,-0.639945333,3.02,192.38,2.5,5.882581223,1.96086E-09,2.74652E-08
BiscBas,Wood,SE,26097,3.86796,1.280118667,2.21,398.19,2.5,16.6384563,5.54615E-09,7.76833E-08
BiscBas,Wood,NE,14139.1,2.911328,0.323486667,2.47,232.79,2.5,8.703267299,2.90109E-09,4.06347E-08
BiscBas,Wood,Blank,5611,2.22908,-0.358761333,3.06,159.8,2.5,4.822478537,1.60749E-09,2.25157E-08
FirLopSo,Lichen,NE,3774420,303.7338,300.9669,4.92,70.12,2.5,1.316108699,4.38703E-10,6.14478E-09
FirLopSo,Lichen,SE,64123.3,6.910064,4.143164,2.14,87.38,2.5,3.770623952,1.25687E-09,1.76047E-08
FirLopSo,Lichen,SW,13776.4,2.882312,0.115412,3.29,35.56,2.5,0.998115522,3.32705E-10,4.6601E-09
