"","data_file","niche","sample_no","temp","moist_level","peaka rea","ppm","Bag_ID","bag_avg","avg_blank","ppm_corrected"
"1","2022_09_01_REH_clim_exp2_017","Soil",1,"15 C",0.25,10061.4,2.763726,"AB",2.1591825,5.4895155,-4.884972
"2","2022_09_01_REH_clim_exp2_018","Soil",2,"15 C",0.25,13270.1,3.052509,"AB",2.1591825,5.4895155,-4.596189
"3","2022_09_01_REH_clim_exp2_019","Soil",3,"15 C",0.25,5336.8,2.338512,"AB",2.1591825,5.4895155,-5.310186
"4","2022_09_01_REH_clim_exp2_020","Soil",4,"15 C",0.25,21633.5,3.805215,"AB",2.1591825,5.4895155,-3.843483
"5","2022_09_01_REH_clim_exp2_021","Soil",5,"15 C",0.25,30594.2,4.611678,"AB",2.1591825,5.4895155,-3.03702
"6","2022_09_01_REH_clim_exp2_022","Soil",6,"15 C",0.25,19306.7,3.595803,"AB",2.1591825,5.4895155,-4.052895
"7","2022_09_01_REH_clim_exp2_023","Soil",7,"15 C",0.25,180583.6,18.110724,"AB",2.1591825,5.4895155,10.462026
"8","2022_09_01_REH_clim_exp2_024","Soil",8,"15 C",0.25,23271.5,3.952635,"AB",2.1591825,5.4895155,-3.696063
"9","2022_09_01_REH_clim_exp2_025","Soil",9,"15 C",0.25,11004.6,2.848614,"AB",2.1591825,5.4895155,-4.800084
"10","2022_09_01_REH_clim_exp2_027","Soil",1,"15 C",0.5,13857.4,3.105366,"AB",2.1591825,5.4895155,-4.543332
"11","2022_09_01_REH_clim_exp2_028","Soil",2,"15 C",0.5,16461,3.33969,"AB",2.1591825,5.4895155,-4.309008
"12","2022_09_01_REH_clim_exp2_029","Soil",3,"15 C",0.5,15515.9,3.254631,"AB",2.1591825,5.4895155,-4.394067
"13","2022_09_01_REH_clim_exp2_030","Soil",4,"15 C",0.5,8023.6,2.580324,"AB",2.1591825,5.4895155,-5.068374
"14","2022_09_01_REH_clim_exp2_031","Soil",5,"15 C",0.5,11478.9,2.891301,"AB",2.1591825,5.4895155,-4.757397
"15","2022_09_01_REH_clim_exp2_032","Soil",6,"15 C",0.5,16688,3.36012,"AB",2.1591825,5.4895155,-4.288578
"16","2022_09_01_REH_clim_exp2_033","Soil",7,"15 C",0.5,8065.1,2.584059,"AB",2.1591825,5.4895155,-5.064639
"17","2022_09_01_REH_clim_exp2_034","Soil",8,"15 C",0.5,3602.6,2.182434,"AB",2.1591825,5.4895155,-5.466264
"18","2022_09_01_REH_clim_exp2_035","Soil",9,"15 C",0.5,8375,2.61195,"AB",2.1591825,5.4895155,-5.036748
"19","2022_09_01_REH_clim_exp2_037","Soil",1,"15 C",1,12343.8,2.969142,"AB",2.1591825,5.4895155,-4.679556
"20","2022_09_01_REH_clim_exp2_038","Soil",2,"15 C",1,11525.4,2.895486,"AB",2.1591825,5.4895155,-4.753212
"21","2022_09_01_REH_clim_exp2_039","Soil",3,"15 C",1,27678.3,4.349247,"AB",2.1591825,5.4895155,-3.299451
"22","2022_09_01_REH_clim_exp2_040","Soil",4,"15 C",1,10673.8,2.818842,"AB",2.1591825,5.4895155,-4.829856
"23","2022_09_01_REH_clim_exp2_041","Soil",5,"15 C",1,6659.2,2.457528,"AB",2.1591825,5.4895155,-5.19117
"24","2022_09_01_REH_clim_exp2_042","Soil",6,"15 C",1,8487.7,2.622093,"AB",2.1591825,5.4895155,-5.026605
"25","2022_09_01_REH_clim_exp2_043","Soil",7,"15 C",1,13083.9,3.035751,"AB",2.1591825,5.4895155,-4.612947
