season,niche,site,sample_n,mean_moist,flux_kgN_ha_season,median_flux_kgN_ha_season,sd_kgN_ha_season,,,,
fall,Wood,BiscBas,8,105.343,0,0,0,,Row Labels,Average of mean_moist,Average of flux_kgN_ha_season
summer_wet,Wood,BiscBas,6,104.6356667,0.106399332,0.047660226,0.136835923,,fall,24.770445,3.27163E-05
spring,Wood,BiscBas,5,232.53,0.016304831,0,0.028792429,,Moss,14.592125,0.000163582
summer,Wood,BiscBas,8,2.353125,0,0,0,,Lichen,17.278775,0
summer_wet,Wood,FirLopSo,5,103.872,0.087853388,0.011559641,0.14944112,,Litter,13.220475,0
fall,Wood,FirLopSo,8,62.203625,0,0,0,,Soil,8.344825,0
spring,Wood,FirLopSo,5,178.26,0.056824863,6.08E-04,0.115501806,,Wood,70.416025,0
summer,Wood,FirLopSo,8,0,0,0,0,,spring,99.19604667,0.058303909
summer_wet,Wood,FounEast,5,136.5226,0.110673614,0.092397086,0.128535599,,Moss,97.38946667,0.005022041
spring,Wood,FounEast,2,118.315,0.047213914,0.047213914,0.019385001,,Lichen,110.1908333,0.086348716
fall,Wood,FounEast,8,130.737875,0,0,0,,Litter,75.64533333,0.002045003
summer,Wood,FounEast,7,14.08957143,0,0,0,,Soil,33.9116,0.15206934
summer,Wood,GibFalls,7,0.513,0,0,0,,Wood,178.843,0.046034447
spring,Wood,GibFalls,2,210.5,0.014528803,0.014528803,0.02054683,,summer,2.220575429,0.006232215
fall,Wood,GibFalls,8,18.642625,0,0,0,,Moss,1.683968571,0.000223428
summer_wet,Wood,GibFalls,4,62.14225,0.011913605,0.010751296,0.010887873,,Lichen,1.067495,0.030937644
summer,Wood,GravPit,8,1.10125,0,0,0,,Litter,1.292935,0
spring,Wood,GravPit,2,154.61,0.095299823,0.095299823,0.131250776,,Soil,3.447089286,0
fall,Wood,GravPit,8,35.153,0,0,0,,Wood,3.611389286,0
summer_wet,Wood,GravPit,5,135.9004,0.269331616,0.35130212,0.244190213,,summer_wet,57.54267,0.045016203
fall,Soil,BiscBas,8,3.155375,0,0,0,,Moss,44.37481,0.001704272
fall,Soil,FirLopSo,8,10.847875,0,0,0,,Lichen,59.176,0.086208844
fall,Soil,FounEast,8,15.85225,0,0,0,,Litter,56.77843667,0.000220568
fall,Soil,GibFalls,8,4.144125,0,0,0,,Soil,18.76952,0.01971302
fall,Soil,GravPit,8,7.7245,0,0,0,,Wood,108.6145833,0.117234311
spring,Soil,BiscBas,3,37.91666667,0.112829207,0.11282915,0.032236888,,(blank),,
spring,Soil,FirLopSo,5,42.408,0.127148533,0.129743364,0.048891093,,(blank),,
spring,Soil,FounEast,3,36.03,0.170620746,0.148605337,0.038131807,,Grand Total,45.93243427,0.027396261
spring,Soil,GibFalls,3,22.12666667,0.233717499,0.290132247,0.17615437,,,,
spring,Soil,GravPit,3,31.07666667,0.116030713,0.139236892,0.055947986,,,,
