"site","season","niche","mean_moist","variance_moist","mean_gN_cm2_hr","median_gN_cm2_hr","st_dev_cm2","variance_cm2","mean_rate_gN_g_h","median_rate_gN_g_h","st_dev_g","variance_g","sample_n","mean_mass_g","sd_mass_g","litter_g_ha","sd_litter_g_ha","N_flux_gN_ha_hr","median_N_flux_gN_ha_hr","sd_gN_ha_hr","flux_kgN_ha_season","median_flux_kgN_ha_season","sd_kgN_ha_season"
"BiscBas","fall","Litter",11.868875,5.0279658392857165,0,0,0,0,0,0,0,0,8,90.525,38.62062602477405,11970120.750000002,5106805.379255872,0,0,0,0,0,0
"BiscBas","spring","Litter",168.962,8592.673069999997,1.9676360000000002e-11,0,4.399767850975776e-11,1.935795714248e-21,6.72e-11,0,1.5026376808798587e-10,2.2579199999999997e-20,5,90.525,38.62062602477405,11970120.750000002,5106805.379255872,8.043921144000001e-4,0,0.0017986754483631877,0.0011744124870240002,0,0.002626066154610254
"BiscBas","summer","Litter",0.4915,0.5531582857142857,0,0,0,0,0,0,0,0,8,90.525,38.62062602477405,11970120.750000002,5106805.379255872,0,0,0,0,0,0
"BiscBas","summer_wet","Litter",31.0056,385.3859248,0,0,0,0,0,0,0,0,5,90.525,38.62062602477405,11970120.750000002,5106805.379255872,0,0,0,0,0,0
"FirLopSo","summer_wet","Litter",48.071250000000006,515.0648222500001,0,0,0,0,0,0,0,0,4,70.46083333333333,39.97961513715648,9317035.991666667,5286504.509586201,0,0,0,0,0,0
"FirLopSo","fall","Litter",9.2425,8.554847428571428,0,0,0,0,0,0,0,0,8,70.46083333333333,39.97961513715648,9317035.991666667,5286504.509586201,0,0,0,0,0,0
"FirLopSo","spring","Litter",33.838,246.25927000000001,1.285088e-12,0,2.8735441250692496e-12,8.25725583872e-24,5.6e-12,0,1.2521980673998822e-11,1.568e-22,5,70.46083333333333,39.97961513715648,9317035.991666667,5286504.509586201,5.217540155333334e-5,0,1.1666774462660145e-4,7.617608626786668e-5,0,1.7033490715483813e-4
"FirLopSo","summer","Litter",0,0,0,0,0,0,0,0,0,0,6,70.46083333333333,39.97961513715648,9317035.991666667,5286504.509586201,0,0,0,0,0,0
"FounEast","summer","Litter",3.2748,4.4050966222222225,0,0,0,0,0,0,0,0,10,60.549166666666665,40.9013683830512,8006416.308333334,5408387.941290861,0,0,0,0,0,0
"FounEast","summer_wet","Litter",92.96600000000001,1003.7028395000001,1.831092e-11,0,4.094446185056045e-11,1.6764489562320002e-21,7.65334e-11,0,1.711338849491824e-10,2.92868065778e-20,5,60.549166666666665,40.9013683830512,8006416.308333334,5408387.941290861,6.127582618921984e-4,0,0.0013701691273655745,8.946270623626097e-4,0,0.002000446925953739
"FounEast","fall","Litter",24.3875,388.6124025714285,0,0,0,0,0,0,0,0,8,60.549166666666665,40.9013683830512,8006416.308333334,5408387.941290861,0,0,0,0,0,0
"FounEast","spring","Litter",62.56333333333333,1847.4396333333336,1.3660246666666667e-10,1.44519e-10,6.343736087396237e-11,4.0242987546533325e-21,4.5111133333333333e-10,4.2e-10,1.1519520951989858e-10,1.3269936296333333e-20,3,60.549166666666665,40.9013683830512,8006416.308333334,5408387.941290861,0.0036117851360739947,0.0033626948495,9.223008041419913e-4,0.005273206298668033,0.00490953448027,0.0013465591740473074
"GibFalls","spring","Litter",66.65,2888.0000000000005,3.77441e-12,3.77441e-12,5.337821811956634e-12,2.84923416962e-23,9.33335e-12,9.33335e-12,1.3199350152374926e-11,1.74222844445e-22,2,82.53833333333333,35.10104319437434,10914043.816666666,4641410.94159212,1.0186459085628583e-4,1.0186459085628583e-4,1.4405828591454578e-4,1.487223026501773e-4,1.487223026501773e-4,2.1032509743523683e-4
"GibFalls","summer","Litter",1.357125,1.5874161249999998,0,0,0,0,0,0,0,0,8,82.53833333333333,35.10104319437434,10914043.816666666,4641410.94159212,0,0,0,0,0,0
"GibFalls","summer_wet","Litter",50.828,205.42316249999996,7.908160000000001e-12,0,1.768318333694474e-11,3.1269497292800002e-22,1.306666e-11,0,2.92179399988774e-11,8.53688017778e-22,5,82.53833333333333,35.10104319437434,10914043.816666666,4641410.94159212,1.4261009977748566e-4,0,3.188858773804856e-4,2.0821074567512908e-4,0,4.6557338097550895e-4
"GibFalls","fall","Litter",11.39625,10.835622214285715,0,0,0,0,0,0,0,0,8,82.53833333333333,35.10104319437434,10914043.816666666,4641410.94159212,0,0,0,0,0,0
"GravPit","fall","Litter",9.20725,5.551034214285714,0,0,0,0,0,0,0,0,8,82.14916666666667,23.631920038307715,10862584.308333335,3124848.7866654294,0,0,0,0,0,0
"GravPit","spring","Litter",46.21333333333333,125.26843333333336,6.1747e-11,7.0465e-11,5.788251192717883e-11,3.3503851869999996e-21,2.24e-10,2.70667e-10,2.0469587413770705e-10,4.1900400889000005e-20,3,82.14916666666667,23.631920038307715,10862584.308333335,3124848.7866654294,0.002433218885066667,0.0029401431069836586,0.002223526190388832,0.003552499572197334,0.004292608936196141,0.0032463482379676946
"GravPit","summer","Litter",1.34125,0.545349357142857,0,0,0,0,0,0,0,0,8,82.14916666666667,23.631920038307715,10862584.308333335,3124848.7866654294,0,0,0,0,0,0
"GravPit","summer_wet","Litter",61.02133333333333,157.32145733333329,0,0,0,0,0,0,0,0,3,82.14916666666667,23.631920038307715,10862584.308333335,3124848.7866654294,0,0,0,0,0,0
