"","site","dry_mass","bulk_dens_g_cm3"
"1","FounEast",10.8,1.10002037074761
"2","FounEast",7.67,0.781218170706865
"3","BiscBas",7.08,0.721124465267875
"4","FirLopSo",14.6,1.48706457526991
"5","FirLopSo",11.04,1.12446526787533
"6","FounEast",5.23,0.532695049908332
"7","GravPit",22.17,2.25809737217356
"8","BiscBas",9.49,0.966591973925443
"9","GibFalls",5.49,0.5591770217967
"10","FounEast",9.37,0.954369525361581
"11","FounEast",2.27,0.231207985333062
"12","GibFalls",5.18,0.527602363006722
"13","GravPit",7.61,0.775106946424934
"14","BiscBas",6.66,0.678345895294357
"15","FirLopSo",11.02,1.12242819311469
"16","BiscBas",13.02,1.32613566917906
"17","GravPit",11.1,1.13057649215726
"18","GibFalls",9.62,0.979832959869627
"19","GravPit",8.19,0.834182114483602
"20","FounEast",5.95,0.606029741291505
"21","FirLopSo",7.99,0.813811366877164
"22","GibFalls",12.58,1.2813200244449
"23","FounEast",5.69,0.579547769403137
"24","FirLopSo",9.89,1.00733346913832
"25","BiscBas",11.47,1.16826237522917
"26","GravPit",6.49,0.661030759828886
"27","GibFalls",11.14,1.13465064167855
"28","GibFalls",6.46,0.65797514768792
"29","FounEast",7.43,0.75677327357914
"30","FirLopSo",8.87,0.903442656345488
"31","FounEast",6.87,0.699735180281116
"32","FounEast",5.97,0.608066816052149
"33","FounEast",7.28,0.741495212874313
"34","GravPit",2.9,0.295375840293339
"35","GibFalls",14.83,1.51049093501732
"36","FounEast",3.34,0.340191485027501
"37","FirLopSo",12.76,1.29965369729069
"38","BiscBas",0,0
"39","BiscBas",13.17,1.34141372988389
"40","GibFalls",6.87,0.699735180281116
"41","GravPit",11.08,1.12853941739662
"42","FounEast",9.06,0.922794866571603
"43","FounEast",3.92,0.399266653086168
"44","FounEast",5.63,0.573436545121206
"45","BiscBas",6.3,0.64167854960277
"46","GibFalls",8.03,0.817885516398452
"47","BiscBas",8.07,0.821959665919739
"48","FounEast",5.64,0.574455082501528
"49","FirLopSo",10.85,1.10511305764922
"50","FounEast",7.93,0.807700142595233
"51","GravPit",9.41,0.958443674882868
"52","GravPit",10.48,1.06742717457731
"53","GravPit",3.43,0.349358321450397
"54","GibFalls",9.48,0.965573436545121
"55","GibFalls",0.76,0.0774088409044612
"56","BiscBas",7.28,0.741495212874313
"57","FounEast",6.68,0.680382970055001
"58","GravPit",7.66,0.780199633326543
"59","GravPit",12.24,1.24668975351395
"60","BiscBas",5.41,0.551028722754125
"61","GravPit",7.19,0.732328376451416
"62","GravPit",5.43,0.553065797514769
"63","GibFalls",10.18,1.03687105316765
"64","FounEast",3.87,0.394173966184559
"65","GibFalls",8.14,0.829089427581992
"66","GibFalls",10.06,1.02464860460379
"67","BiscBas",10.39,1.05826033815441
"68","GibFalls",8.18,0.83316357710328
"69","BiscBas",9.36,0.953350987981259
"70","GibFalls",5.19,0.528620900387044
"71","FounEast",5.81,0.591770217966999
"72","GibFalls",11.73,1.19474434711754
"73","GibFalls",9.16,0.932980240374822
"74","GravPit",7.2,0.733346913831738
"75","BiscBas",7.73,0.787329394988796
"76","FirLopSo",10.63,1.08270523528213
"77","BiscBas",9.33,0.950295375840293
"78","GibFalls",10.77,1.09696475860664
"79","GravPit",10.47,1.06640863719699
"80","GravPit",4.54,0.462415970666123
"81","GibFalls",12.98,1.32206151965777
"82","FounEast",7.94,0.808718679975555
"83","GravPit",6.09,0.620289264616011
"84","FirLopSo",13.58,1.38317376247708
"85","FirLopSo",6.41,0.652882460786311
"86","BiscBas",6.85,0.697698105520473
"87","FirLopSo",12.66,1.28946832348747
"88","GravPit",9.57,0.974740272968018
"89","FirLopSo",6.39,0.650845386025667
"90","FirLopSo",8.11,0.826033815441027
"91","FirLopSo",6.71,0.683438582195967
"92","GravPit",2.23,0.227133835811774
"93","GibFalls",11.55,1.17641067427175
"94","FirLopSo",10,1.01853738032186
"95","BiscBas",11.44,1.16520676308821
"96","BiscBas",16.38,1.6683642289672
"97","BiscBas",11.02,1.12242819311469
"98","FirLopSo",12.52,1.27520880016297
"99","GravPit",12.88,1.31187614585455
"100","BiscBas",5.63,0.573436545121206
"101","FirLopSo",6.66,0.678345895294357
"102","BiscBas",4.73,0.481768180892239
"103","FirLopSo",8.13,0.82807089020167
"104","FirLopSo",13.64,1.38928498675901
"105","FirLopSo",9,0.916683642289672
"106","GibFalls",8.46,0.861682623752292
"107","BiscBas",0.88,0.0896312894683235
"108","FirLopSo",11.15,1.13566917905887
"109","GibFalls",6.19,0.63047463841923
"110","FounEast",13.61,1.38622937461805
"111","FounEast",9.45,0.962517824404156
"112","FounEast",12.63,1.28641271134651
"113","GravPit",11.97,1.21918924424526
"114","BiscBas",0.61,0.0621307801996333
"115","BiscBas",14.09,1.4351191688735
"116","FirLopSo",6.86,0.698716642900794
"117","FirLopSo",8.72,0.88816459564066
"118","GravPit",10.27,1.04603788959055
"119","FirLopSo",12.26,1.2487268282746
"120","BiscBas",13.11,1.33530250560196
"121","BiscBas",7.64,0.778162558565899
"122","FirLopSo",7.75,0.78936646974944
"123","GravPit",15.38,1.56651049093502
"124","GibFalls",11.48,1.16928091260949
