"","season","niche","combined_mean_flux","median_flux","sd_flux","se_flux","mean_moist","temp","se_total","sd_total","total_flux"
"1","fall","Lichen",0,0,0,0,17.278775,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"2","fall","Lichen",0,0,0,0,17.278775,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"3","fall","Lichen",0,0,0,0,17.278775,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"4","fall","Lichen",0,0,0,0,17.278775,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"5","fall","Lichen",0,0,0,0,17.278775,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"6","fall","Litter",0,0,0,0,13.220475,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"7","fall","Litter",0,0,0,0,13.220475,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"8","fall","Litter",0,0,0,0,13.220475,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"9","fall","Litter",0,0,0,0,13.220475,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"10","fall","Litter",0,0,0,0,13.220475,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"11","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"12","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"13","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"14","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"15","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"16","fall","Soil",0,0,0,0,8.344825,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"17","fall","Soil",0,0,0,0,8.344825,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"18","fall","Soil",0,0,0,0,8.344825,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"19","fall","Soil",0,0,0,0,8.344825,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"20","fall","Soil",0,0,0,0,8.344825,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"21","fall","Wood",0,0,0,0,70.416025,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"22","fall","Wood",0,0,0,0,70.416025,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"23","fall","Wood",0,0,0,0,70.416025,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"24","fall","Wood",0,0,0,0,70.416025,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"25","fall","Wood",0,0,0,0,70.416025,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"26","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,3.9,0.294071183427868,0.657563156368523,0.729013479
"27","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,3.9,0.294071183427868,0.657563156368523,0.729013479
"28","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,5.3,0.294071183427868,0.657563156368523,0.729013479
"29","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,5.3,0.294071183427868,0.657563156368523,0.729013479
"30","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,5.3,0.294071183427868,0.657563156368523,0.729013479
"31","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,3.9,0.294071183427868,0.657563156368523,0.729013479
"32","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,3.9,0.294071183427868,0.657563156368523,0.729013479
"33","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,5.3,0.294071183427868,0.657563156368523,0.729013479
"34","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,5.3,0.294071183427868,0.657563156368523,0.729013479
"35","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,5.3,0.294071183427868,0.657563156368523,0.729013479
"36","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,3.9,0.294071183427868,0.657563156368523,0.729013479
"37","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,3.9,0.294071183427868,0.657563156368523,0.729013479
"38","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,5.3,0.294071183427868,0.657563156368523,0.729013479
"39","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,5.3,0.294071183427868,0.657563156368523,0.729013479
"40","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,5.3,0.294071183427868,0.657563156368523,0.729013479
"41","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,3.9,0.294071183427868,0.657563156368523,0.729013479
"42","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,3.9,0.294071183427868,0.657563156368523,0.729013479
"43","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,5.3,0.294071183427868,0.657563156368523,0.729013479
